gene,spearman_rho,p_value,q_value,mean_CPM_across_clusters
Sap30bp,0.2506,0.2731235283481196,0.4741,22.83
D930048N14Rik,0.2506,0.2731235283481196,0.4741,1.96
Gm48420,0.2506,0.2731235283481196,0.4741,1.05
Ezr,0.2506,0.2731235283481196,0.4741,19.56
Rab13,0.2506,0.2731235283481196,0.4741,6.78
Hace1,0.2506,0.2731235283481196,0.4741,36.83
Vsig10,0.2506,0.2731235283481196,0.4741,4.18
Zfp101,0.2506,0.2731235283481196,0.4741,4.5
Cmtr2,0.2506,0.2731235283481196,0.4741,5.41
Mad1l1,0.2506,0.2731235283481196,0.4741,7.36
Ranbp9,0.2506,0.2731235283481196,0.4741,52.11
Yipf1,0.2506,0.2731235283481196,0.4741,30.71
Eif2ak1,0.2506,0.2731235283481196,0.4741,31.7
Mmp17,0.2506,0.2731235283481196,0.4741,1.07
Syn2,0.2506,0.2731235283481196,0.4741,344.31
Cnot6l,0.2506,0.2731235283481196,0.4741,24.0
Fubp3,0.2506,0.2731235283481196,0.4741,26.88
Nkiras1,0.2506,0.2731235283481196,0.4741,107.79
Dnase1l2,0.2506,0.2731235283481196,0.4741,1.4
Slc25a10,0.2506,0.2731235283481196,0.4741,17.97
Uspl1,0.2506,0.2731235283481196,0.4741,24.47
Asprv1,0.2494,0.27569907970760527,0.4771,0.86
Selenot,0.2494,0.27569907970760527,0.4771,227.86
Trmt6,0.2494,0.27569907970760527,0.4771,22.06
Pcna,0.2494,0.27569907970760527,0.4771,19.78
Zfp335os,0.2494,0.27569907970760527,0.4771,2.85
Map3k2,0.2494,0.27569907970760527,0.4771,39.21
Ripk1,0.2494,0.27569907970760527,0.4771,8.65
Lamp1,0.2494,0.27569907970760527,0.4771,349.63
Zranb3,0.2494,0.27569907970760527,0.4771,4.97
Stk40,0.2494,0.27569907970760527,0.4771,19.17
Lmbr1l,0.2494,0.27569907970760527,0.4771,6.69
Anks1b,0.2494,0.27569907970760527,0.4771,30.05
Gm43445,0.2494,0.27553800425818625,0.4771,1.18
Homez,0.2494,0.27569907970760527,0.4771,7.26
Pgam5,0.2494,0.27569907970760527,0.4771,34.29
Gm42685,0.2494,0.27569907970760527,0.4771,2.39
Tfcp2l1,0.2494,0.27569907970760527,0.4771,0.57
Nudt3,0.2494,0.27569907970760527,0.4771,211.16
Gm45129,0.2494,0.27569907970760527,0.4771,1.99
Ifitm1,0.2489,0.27667356760230705,0.4788,1.07
Mas1,0.2483,0.2778175433198615,0.4796,0.32
Psmd4,0.2481,0.2782897943042768,0.4796,86.65
Fkbp7,0.2481,0.2782897943042768,0.4796,2.53
Inpp5k,0.2481,0.2782897943042768,0.4796,39.8
Snrpf,0.2481,0.2782897943042768,0.4796,109.27
Cdc37,0.2481,0.2782897943042768,0.4796,108.18
Snora57,0.2481,0.2782897943042768,0.4796,1.45
Hpf1,0.2481,0.2782897943042768,0.4796,66.64
Rc3h1,0.2481,0.2782897943042768,0.4796,120.29
Myo1a,0.2481,0.2782897943042768,0.4796,5.04
Pard6b,0.2481,0.2782897943042768,0.4796,4.47
Alkbh1,0.2481,0.2782897943042768,0.4796,15.14
Rassf10,0.2481,0.2782897943042768,0.4796,1.51
Gm43877,0.2481,0.2782897943042768,0.4796,5.24
Ppp6r2,0.2481,0.2782897943042768,0.4796,35.12
Vps37b,0.2481,0.2782897943042768,0.4796,7.52
Pak6,0.2481,0.2782897943042768,0.4796,2.97
Tmem131l,0.2481,0.2782897943042768,0.4796,13.75
Kcnab2,0.2481,0.2782897943042768,0.4796,301.96
Gm37399,0.2481,0.2782897943042768,0.4796,1.31
Gm47624,0.2475,0.2794296128827531,0.4814,0.54
Snx11,0.2468,0.28089567126311854,0.4823,60.56
Gm37968,0.2468,0.28089567126311854,0.4823,0.65
Mief2,0.2468,0.28089567126311854,0.4823,10.7
Tbc1d1,0.2468,0.28089567126311854,0.4823,7.47
E2f5,0.2468,0.28089567126311854,0.4823,7.17
Zbtb37,0.2468,0.28089567126311854,0.4823,8.99
Zfp711,0.2468,0.28089567126311854,0.4823,4.99
Rae1,0.2468,0.28089567126311854,0.4823,18.69
Gm45201,0.2468,0.28089567126311854,0.4823,1.31
Prob1,0.2468,0.28089567126311854,0.4823,2.81
Gm16008,0.2468,0.28089567126311854,0.4823,2.12
Rps6kb2,0.2468,0.28089567126311854,0.4823,15.93
Gtf3c5,0.2468,0.28089567126311854,0.4823,10.56
Ccdc163,0.2468,0.28089567126311854,0.4823,4.43
Zfp619,0.2468,0.28089567126311854,0.4823,1.75
Dhrs7,0.2468,0.28089567126311854,0.4823,21.13
Zfp53,0.2468,0.28089567126311854,0.4823,3.37
Fam171b,0.2468,0.28089567126311854,0.4823,197.08
Mogat1,0.2458,0.28287070161469585,0.4851,0.55
Crhbp,0.2458,0.28287070161469585,0.4851,2.22
Gm44288,0.2455,0.283516708831267,0.4851,5.43
Fem1al,0.2455,0.283516708831267,0.4851,1.33
Tmco3,0.2455,0.283516708831267,0.4851,50.1
Plaa,0.2455,0.283516708831267,0.4851,52.13
Slc44a3,0.2455,0.283516708831267,0.4851,1.11
Fam98b,0.2455,0.283516708831267,0.4851,23.52
Gm47260,0.2455,0.283516708831267,0.4851,1.73
Gid8,0.2455,0.283516708831267,0.4851,34.72
Bud23,0.2455,0.283516708831267,0.4851,11.42
Cul3,0.2455,0.283516708831267,0.4851,100.18
Cptp,0.2455,0.283516708831267,0.4851,35.16
Ppa2,0.2455,0.283516708831267,0.4851,57.27
Msrb3,0.2455,0.283516708831267,0.4851,2.68
Dsc2,0.2455,0.283516708831267,0.4851,1.3
Manbal,0.2455,0.283516708831267,0.4851,81.25
Rexo1,0.2455,0.283516708831267,0.4851,29.99
Casd1,0.2455,0.283516708831267,0.4851,67.65
Slc30a6,0.2455,0.283516708831267,0.4851,7.18
Tagln2,0.2455,0.283516708831267,0.4851,118.84
Acbd6,0.2455,0.283516708831267,0.4851,65.12
Gm15728,0.2455,0.283516708831267,0.4851,1.94
Hint2,0.2455,0.283516708831267,0.4851,75.18
Csmd2,0.2442,0.286152904374841,0.4876,29.3
Klhl11,0.2442,0.286152904374841,0.4876,1.71
Dusp28,0.2442,0.286152904374841,0.4876,34.71
Gm19445,0.2442,0.286152904374841,0.4876,5.61
Gm42462,0.2442,0.286152904374841,0.4876,0.83
Ccdc96,0.2442,0.286152904374841,0.4876,1.26
Socs6,0.2442,0.286152904374841,0.4876,23.5
Micall1,0.2442,0.286152904374841,0.4876,27.55
Gm48699,0.2442,0.286152904374841,0.4876,1.92
Hccs,0.2442,0.286152904374841,0.4876,35.64
Glis1,0.2442,0.286152904374841,0.4876,1.99
C630043F03Rik,0.2442,0.286152904374841,0.4876,6.59
Dnajc10,0.2442,0.286152904374841,0.4876,87.56
Chrd,0.2442,0.286152904374841,0.4876,1.35
Setx,0.2442,0.286152904374841,0.4876,38.7
Ddx50,0.2442,0.286152904374841,0.4876,46.29
Rmnd5a,0.2442,0.286152904374841,0.4876,42.7
Ptprj,0.2442,0.286152904374841,0.4876,13.78
Man2c1os,0.2442,0.286152904374841,0.4876,1.61
Rnf25,0.2442,0.286152904374841,0.4876,14.07
Rhobtb3,0.2442,0.286152904374841,0.4876,20.05
Ankrd16,0.2442,0.286152904374841,0.4876,12.97
Riox1,0.2442,0.286152904374841,0.4876,3.82
H2-DMb1,0.2442,0.286152904374841,0.4876,0.7
Rtkn2,0.2432,0.2881577031138258,0.491,0.53
Fst,0.243,0.2885158913195734,0.491,9.34
Htra2,0.2429,0.28880425437585355,0.491,23.36
P2rx2,0.2429,0.28880425437585355,0.491,352.69
Mir100hg,0.2429,0.28880425437585355,0.491,90.34
Ccdc47,0.2429,0.28880425437585355,0.491,79.85
Gm43457,0.2429,0.28880425437585355,0.491,0.99
8430406P12Rik,0.2429,0.28880425437585355,0.491,0.61
Mmp15,0.2429,0.28880425437585355,0.491,75.79
Smim19,0.2429,0.28880425437585355,0.491,109.73
Zfp386,0.2429,0.28880425437585355,0.491,9.23
Kcnd2,0.2429,0.28880425437585355,0.491,3.9
Zranb1,0.2429,0.28880425437585355,0.491,38.83
6330415B21Rik,0.2416,0.291470754429199,0.4938,33.37
G6pc3,0.2416,0.291470754429199,0.4938,57.82
St8sia4,0.2416,0.291470754429199,0.4938,5.99
Vapb,0.2416,0.291470754429199,0.4938,263.15
Nckap1,0.2416,0.291470754429199,0.4938,267.52
Cep63,0.2416,0.291470754429199,0.4938,16.26
Ncbp1,0.2416,0.291470754429199,0.4938,16.74
Gpx4-ps2,0.2416,0.291470754429199,0.4938,21.27
A630023A22Rik,0.2416,0.291470754429199,0.4938,8.75
Pde4dip,0.2416,0.291470754429199,0.4938,109.41
Brd4,0.2416,0.291470754429199,0.4938,71.58
Wdfy2,0.2416,0.291470754429199,0.4938,45.96
Herc1,0.2416,0.291470754429199,0.4938,191.32
Hsdl1,0.2416,0.291470754429199,0.4938,95.76
Rxylt1,0.2416,0.291470754429199,0.4938,36.96
B230217C12Rik,0.2416,0.291470754429199,0.4938,33.15
Tha1,0.2416,0.291470754429199,0.4938,2.12
Edrf1,0.2416,0.291470754429199,0.4938,6.19
Mical3,0.2416,0.291470754429199,0.4938,29.93
Foxo4,0.2416,0.291470754429199,0.4938,4.1
Arhgef9,0.2416,0.291470754429199,0.4938,56.58
Dcaf17,0.2403,0.29415239923972397,0.497,13.17
Tmem43,0.2403,0.29415239923972397,0.497,37.21
Fxr1,0.2403,0.29415239923972397,0.497,90.09
Ankrd35,0.2403,0.29415239923972397,0.497,5.74
Kctd19,0.2403,0.29415239923972397,0.497,2.04
Glt1d1,0.2403,0.29415239923972397,0.497,6.24
Krt7,0.2403,0.29399082033013324,0.497,1.11
Gpr27,0.2403,0.29415239923972397,0.497,36.18
Gm37033,0.2403,0.29415239923972397,0.497,1.56
Galt,0.2403,0.29415239923972397,0.497,21.61
Gm16023,0.2403,0.29415239923972397,0.497,1.08
Myh11,0.2403,0.29415239923972397,0.497,0.97
Zfhx2,0.2403,0.29415239923972397,0.497,72.68
Saa1,0.2403,0.29415239923972397,0.497,1.82
Cryba4,0.2393,0.29620212034381926,0.4992,0.64
Gjd2os,0.2393,0.29620212034381926,0.4992,2.17
Gm38067,0.2392,0.2963085804517254,0.4992,0.35
Ppp4c,0.239,0.29684918261937715,0.4992,58.21
Rrn3,0.239,0.29684918261937715,0.4992,41.5
Sec61a1,0.239,0.29684918261937715,0.4992,85.86
Bpnt1,0.239,0.29684918261937715,0.4992,85.28
Klhl36,0.239,0.29684918261937715,0.4992,1.42
Gm14966,0.239,0.29684918261937715,0.4992,1.76
Dpp9,0.239,0.29684918261937715,0.4992,54.93
Psmc3ip,0.239,0.29684918261937715,0.4992,1.7
Ccdc17,0.239,0.29684918261937715,0.4992,1.23
Snta1,0.239,0.29684918261937715,0.4992,8.94
Ntrk2,0.239,0.29684918261937715,0.4992,514.62
Gapdh,0.239,0.29684918261937715,0.4992,681.82
Gm37219,0.239,0.29684918261937715,0.4992,1.12
Gatad2a,0.239,0.29684918261937715,0.4992,74.18
Six1,0.239,0.29684918261937715,0.4992,134.71
A430033K04Rik,0.239,0.29684918261937715,0.4992,3.63
Gm44433,0.239,0.29684918261937715,0.4992,28.39
D130020L05Rik,0.239,0.29684918261937715,0.4992,6.26
Uhrf2,0.239,0.29684918261937715,0.4992,45.64
Tatdn1,0.239,0.29684918261937715,0.4992,30.43
Qpct,0.239,0.29684918261937715,0.4992,11.34
Plagl2,0.239,0.29684918261937715,0.4992,3.25
Gm42576,0.2377,0.2995610974844405,0.5015,3.38
Rnf122,0.2377,0.2995610974844405,0.5015,16.52
Gm2415,0.2377,0.2995610974844405,0.5015,5.23
Nedd9,0.2377,0.2995610974844405,0.5015,7.92
Tmtc4,0.2377,0.2995610974844405,0.5015,41.14
1010001B22Rik,0.2377,0.2995610974844405,0.5015,1.33
Mlf1,0.2377,0.2995610974844405,0.5015,6.8
Carmil2,0.2377,0.2995610974844405,0.5015,63.47
Eif3m,0.2377,0.2995610974844405,0.5015,52.74
Abcc1,0.2377,0.2995610974844405,0.5015,21.18
Dnajc3,0.2377,0.2995610974844405,0.5015,57.78
Zfp46,0.2377,0.2995610974844405,0.5015,13.78
Nudt17,0.2377,0.2995610974844405,0.5015,15.14
Adrm1,0.2377,0.2995610974844405,0.5015,42.53
A630052C17Rik,0.2377,0.2995610974844405,0.5015,1.92
Polr2e,0.2377,0.2995610974844405,0.5015,48.95
Srrd,0.2377,0.2995610974844405,0.5015,17.01
Zcrb1,0.2377,0.2995610974844405,0.5015,267.7
Pltp,0.2377,0.2995610974844405,0.5015,1.73
Mfsd14a,0.2377,0.2995610974844405,0.5015,41.57
Trappc3,0.2377,0.2995610974844405,0.5015,51.94
Odf2,0.2377,0.2995610974844405,0.5015,26.97
Fbrs,0.2377,0.2995610974844405,0.5015,19.14
Unc79,0.2377,0.2995610974844405,0.5015,13.32
Qsox1,0.2377,0.2995610974844405,0.5015,29.06
Btf3l4,0.2377,0.2995610974844405,0.5015,33.46
Gm10649,0.2371,0.3007610886960734,0.5035,1.09
1700048O20Rik,0.2364,0.3022881358528413,0.5046,3.22
Ephx4,0.2364,0.3022881358528413,0.5046,14.05
Zdhhc17,0.2364,0.3022881358528413,0.5046,129.59
Ncapg2,0.2364,0.3022881358528413,0.5046,6.51
Mex3a,0.2364,0.3022881358528413,0.5046,1.81
Kif13a,0.2364,0.3022881358528413,0.5046,26.09
Phtf2,0.2364,0.3022881358528413,0.5046,17.23
Gm16894,0.2364,0.3022881358528413,0.5046,3.63
Ctnnd2,0.2364,0.3022881358528413,0.5046,107.29
Zfp532,0.2364,0.3022881358528413,0.5046,18.65
Zfp282,0.2364,0.3022881358528413,0.5046,9.47
Pald1,0.2364,0.3022881358528413,0.5046,10.24
Gm44235,0.2364,0.3022881358528413,0.5046,25.83
Dact2,0.2364,0.3022881358528413,0.5046,4.43
Zc3h13,0.2364,0.3022881358528413,0.5046,30.96
Prpf31,0.2364,0.3022881358528413,0.5046,27.74
Pthlh,0.2364,0.3022881358528413,0.5046,4.24
Tigd2,0.2364,0.3022881358528413,0.5046,41.46
Sdc3,0.2364,0.3022881358528413,0.5046,180.47
Gm43482,0.2354,0.3043830862118859,0.5075,0.39
Slc3a2,0.2351,0.30503028884154887,0.5075,64.57
Gmds,0.2351,0.30503028884154887,0.5075,11.5
Jakmip3,0.2351,0.30503028884154887,0.5075,21.42
Gm43628,0.2351,0.30503028884154887,0.5075,1.32
Anks6,0.2351,0.30503028884154887,0.5075,2.64
Scly,0.2351,0.30503028884154887,0.5075,12.24
Pdk1,0.2351,0.30503028884154887,0.5075,16.39
Erdr1x,0.2351,0.30503028884154887,0.5075,3.47
Scn2b,0.2351,0.30503028884154887,0.5075,109.52
Acad9,0.2351,0.30503028884154887,0.5075,8.57
Aifm2,0.2351,0.30503028884154887,0.5075,3.58
Nup98,0.2351,0.30503028884154887,0.5075,21.14
Rabep2,0.2351,0.30503028884154887,0.5075,11.94
Tent4b,0.2351,0.30503028884154887,0.5075,21.77
Cadm3,0.2351,0.30503028884154887,0.5075,259.05
Exosc3,0.2351,0.30503028884154887,0.5075,8.6
Nipa2,0.2351,0.30503028884154887,0.5075,48.69
Edem1,0.2351,0.30503028884154887,0.5075,21.17
Cenpx,0.2351,0.30503028884154887,0.5075,37.94
Phf20,0.2351,0.30503028884154887,0.5075,60.62
Kcnc4,0.2351,0.30503028884154887,0.5075,226.12
Gjd2,0.2351,0.30503028884154887,0.5075,3.84
Ogfr,0.2351,0.30503028884154887,0.5075,14.88
Glt8d2,0.2345,0.30616644187709824,0.5093,0.57
Pgr15l,0.2344,0.3064304222569352,0.5097,2.39
Shprh,0.2338,0.3077875466640504,0.5101,20.36
Zfp953,0.2338,0.3077875466640504,0.5101,0.64
Bard1,0.2338,0.3077875466640504,0.5101,2.38
Insr,0.2338,0.3077875466640504,0.5101,28.47
Exosc1,0.2338,0.3077875466640504,0.5101,21.86
Bap1,0.2338,0.3077875466640504,0.5101,58.95
Polr3e,0.2338,0.3077875466640504,0.5101,12.07
Epb41l4aos,0.2338,0.3077875466640504,0.5101,14.93
Ap2m1-ps,0.2338,0.3077875466640504,0.5101,1.25
Csnk2b,0.2338,0.3077875466640504,0.5101,120.45
Rlim,0.2338,0.3077875466640504,0.5101,47.4
Lins1,0.2338,0.3077875466640504,0.5101,10.8
Zfp182,0.2338,0.3077875466640504,0.5101,2.87
Rnf19b,0.2338,0.3077875466640504,0.5101,39.29
Phlpp2,0.2338,0.3077875466640504,0.5101,29.36
Tmem198,0.2338,0.3077875466640504,0.5101,13.1
Seh1l,0.2338,0.3077875466640504,0.5101,29.95
Cdon,0.2338,0.3077875466640504,0.5101,4.01
Tab1,0.2338,0.3077875466640504,0.5101,14.38
Naa10,0.2338,0.3077875466640504,0.5101,19.77
Gtf2b,0.2338,0.3077875466640504,0.5101,23.95
Lnx2,0.2338,0.3077875466640504,0.5101,5.85
Dcaf13,0.2338,0.3077875466640504,0.5101,7.23
Prr5,0.2338,0.3077875466640504,0.5101,14.36
Mtmr7,0.2325,0.31055989862791333,0.5127,48.92
Cfap20,0.2325,0.31055989862791333,0.5127,48.31
Ntsr2,0.2325,0.31055989862791333,0.5127,1.32
Ficd,0.2325,0.31055989862791333,0.5127,12.0
Copg1,0.2325,0.31055989862791333,0.5127,148.49
1700017B05Rik,0.2325,0.31055989862791333,0.5127,2.51
Ica1,0.2325,0.31055989862791333,0.5127,24.63
Taf1c,0.2325,0.31055989862791333,0.5127,7.64
Fbxo10,0.2325,0.31055989862791333,0.5127,11.93
Tor2a,0.2325,0.31055989862791333,0.5127,5.55
Spata2l,0.2325,0.31055989862791333,0.5127,6.5
Wdr55,0.2325,0.31055989862791333,0.5127,8.29
Acadl,0.2325,0.31055989862791333,0.5127,103.0
Parp2,0.2325,0.31055989862791333,0.5127,13.21
Polr2h,0.2325,0.31055989862791333,0.5127,38.9
Paqr9,0.2325,0.31055989862791333,0.5127,63.95
B3gntl1,0.2325,0.31055989862791333,0.5127,1.59
Sox3,0.2325,0.31055989862791333,0.5127,2.04
Larp4,0.2325,0.31055989862791333,0.5127,96.15
Rpl4,0.2325,0.31055989862791333,0.5127,411.61
Gm37731,0.2317,0.31213396967742285,0.5153,0.29
Szrd1,0.2312,0.313347333132429,0.5156,24.94
Gm43362,0.2312,0.313347333132429,0.5156,10.12
Cdk2ap2,0.2312,0.313347333132429,0.5156,80.22
Intu,0.2312,0.313347333132429,0.5156,3.09
Enpp1,0.2312,0.313347333132429,0.5156,3.57
Gm44438,0.2312,0.313347333132429,0.5156,7.81
Pex26,0.2312,0.313347333132429,0.5156,9.08
Qrich1,0.2312,0.313347333132429,0.5156,75.63
Gm26672,0.2312,0.313347333132429,0.5156,1.43
Prtn3,0.2312,0.313347333132429,0.5156,2.81
1810010H24Rik,0.2312,0.313347333132429,0.5156,2.97
Unc45a,0.2312,0.313347333132429,0.5156,39.32
Ezh1,0.2312,0.313347333132429,0.5156,42.1
Ccdc15,0.2312,0.313347333132429,0.5156,1.33
Ddx19b,0.2312,0.313347333132429,0.5156,14.27
Aco2,0.2312,0.313347333132429,0.5156,162.71
Tmem161a,0.2299,0.3161498376663408,0.5183,27.34
Dbndd2,0.2299,0.3161498376663408,0.5183,27.01
Gm29216,0.2299,0.3161498376663408,0.5183,7.79
Gm15417,0.2299,0.3161498376663408,0.5183,16.73
Epha10,0.2299,0.3161498376663408,0.5183,12.42
Plxnc1,0.2299,0.3161498376663408,0.5183,27.13
Mtx1,0.2299,0.3161498376663408,0.5183,18.36
Hapstr1,0.2299,0.3161498376663408,0.5183,56.6
Lax1,0.2299,0.3161498376663408,0.5183,0.84
Xrn2,0.2299,0.3161498376663408,0.5183,20.56
Ndrg2,0.2299,0.3161498376663408,0.5183,215.05
Gm30531,0.2299,0.3161498376663408,0.5183,2.53
Cdc42bpa,0.2299,0.3161498376663408,0.5183,128.17
Apoo,0.2299,0.3161498376663408,0.5183,30.75
Ubqln1,0.2299,0.3161498376663408,0.5183,113.76
5830454E08Rik,0.2299,0.3161498376663408,0.5183,4.1
Clip1,0.2299,0.3161498376663408,0.5183,57.51
Gm17922,0.2299,0.3161498376663408,0.5183,3.27
5330406M23Rik,0.2299,0.3161498376663408,0.5183,20.5
Parp14,0.2299,0.3161498376663408,0.5183,8.32
Zfp84,0.2299,0.3161498376663408,0.5183,5.13
Pkdrej,0.2299,0.3161498376663408,0.5183,0.94
Hmces,0.2299,0.3161498376663408,0.5183,11.83
Jmjd1c,0.2299,0.3161498376663408,0.5183,46.98
Gm13594,0.2293,0.3173952221698546,0.5203,0.77
Gm6566,0.2293,0.3173476403314299,0.5202,0.38
Alas1,0.2286,0.3189673988056576,0.5208,11.8
Gm43681,0.2286,0.3189673988056576,0.5208,2.41
Gm4673,0.2286,0.3189673988056576,0.5208,2.39
Smpdl3a,0.2286,0.3189673988056576,0.5208,22.0
Arhgap1,0.2286,0.3189673988056576,0.5208,56.72
Gm38083,0.2286,0.3189673988056576,0.5208,0.54
Rab27a,0.2286,0.3189673988056576,0.5208,17.44
Ctu2,0.2286,0.3189673988056576,0.5208,13.23
Zfp248,0.2286,0.3189673988056576,0.5208,11.55
Srl,0.2286,0.3189673988056576,0.5208,5.62
Rph3al,0.2286,0.3189673988056576,0.5208,5.59
Ciz1,0.2286,0.3189673988056576,0.5208,15.75
Mboat7,0.2286,0.3189673988056576,0.5208,44.2
Triobp,0.2286,0.3189673988056576,0.5208,8.0
Lrp10,0.2286,0.3189673988056576,0.5208,69.48
Cdk2ap1,0.2286,0.3189673988056576,0.5208,52.93
Galk2,0.2286,0.3189673988056576,0.5208,17.12
Dlgap2,0.2286,0.3189673988056576,0.5208,2.55
Tvp23b,0.2286,0.3189673988056576,0.5208,34.27
Rap1a,0.2286,0.3189673988056576,0.5208,39.11
Fbxo34,0.2286,0.3189673988056576,0.5208,20.76
Cldn11,0.228,0.32022036369109563,0.5226,4.42
Asb16,0.228,0.32022036369109563,0.5226,1.06
Prokr1,0.2279,0.32036525922365994,0.5228,0.89
Adgrg3,0.2274,0.32160312525748574,0.5235,0.44
Actr3b,0.2273,0.32180000221155247,0.5235,50.1
Cd36,0.2273,0.32180000221155247,0.5235,0.92
Gm16759,0.2273,0.32180000221155247,0.5235,1.1
Tm4sf1,0.2273,0.32180000221155247,0.5235,23.72
Zfp839,0.2273,0.32180000221155247,0.5235,6.01
Gm43848,0.2273,0.32180000221155247,0.5235,2.78
Dennd4c,0.2273,0.32180000221155247,0.5235,5.8
Ifngr1,0.2273,0.32180000221155247,0.5235,16.61
Ets1,0.2273,0.32180000221155247,0.5235,3.77
Sec24c,0.2273,0.32180000221155247,0.5235,41.13
Sirt4,0.2273,0.32180000221155247,0.5235,5.27
Hsf4,0.2273,0.32180000221155247,0.5235,20.28
Slc8a1,0.2273,0.32180000221155247,0.5235,89.34
Gm45537,0.2273,0.32180000221155247,0.5235,2.32
Sox5,0.2273,0.32180000221155247,0.5235,3.21
Plekha2,0.2273,0.32180000221155247,0.5235,18.46
Anxa4,0.2273,0.32180000221155247,0.5235,13.87
Gm47585,0.2273,0.32180000221155247,0.5235,8.44
Mtnr1a,0.2262,0.32408677842300526,0.5265,1.01
G430095P16Rik,0.2261,0.3242639280636101,0.5265,0.98
Bcl2,0.226,0.32464763262834334,0.5265,58.23
Eif4enif1,0.226,0.32464763262834334,0.5265,32.81
Dync1li1,0.226,0.32464763262834334,0.5265,174.85
Zfp961,0.226,0.32464763262834334,0.5265,3.99
C2cd2,0.226,0.32464763262834334,0.5265,21.72
Efcab2,0.226,0.32464763262834334,0.5265,12.09
Mfsd14b,0.226,0.32464763262834334,0.5265,44.3
Synm,0.226,0.32464763262834334,0.5265,199.71
Heatr3,0.226,0.32464763262834334,0.5265,12.88
Max,0.226,0.32464763262834334,0.5265,51.7
Rnf32,0.226,0.32464763262834334,0.5265,9.0
2610008E11Rik,0.226,0.32464763262834334,0.5265,10.08
Porcn,0.226,0.32464763262834334,0.5265,16.75
Gm31024,0.226,0.32464763262834334,0.5265,0.68
Adam11,0.226,0.32464763262834334,0.5265,52.28
Mrpl12,0.226,0.32464763262834334,0.5265,119.34
Pnma3,0.226,0.32464763262834334,0.5265,8.74
Gm42841,0.225,0.32686454503186063,0.5292,0.91
2810001G20Rik,0.2247,0.3275102738815652,0.5292,21.24
Gga3,0.2247,0.3275102738815652,0.5292,38.54
Ube2e3,0.2247,0.3275102738815652,0.5292,71.22
Gm10136,0.2247,0.3275102738815652,0.5292,0.6
Strn4,0.2247,0.3275102738815652,0.5292,48.9
Gm42547,0.2247,0.3275102738815652,0.5292,9.15
Mrpl16,0.2247,0.3275102738815652,0.5292,18.31
Dtnb,0.2247,0.3275102738815652,0.5292,26.34
Ccdc51,0.2247,0.3275102738815652,0.5292,2.75
Grhl3,0.2247,0.3275102738815652,0.5292,4.09
Ccdc127,0.2247,0.3275102738815652,0.5292,62.59
Gm10399,0.2247,0.327349006534284,0.5292,0.64
Gm50240,0.2247,0.3275102738815652,0.5292,10.34
Phf2os1,0.2247,0.3275102738815652,0.5292,0.58
Mtmr4,0.2247,0.3275102738815652,0.5292,43.46
Plcl2,0.2247,0.3275102738815652,0.5292,4.13
N6amt1,0.2247,0.3275102738815652,0.5292,28.15
Kyat3,0.2247,0.3275102738815652,0.5292,3.27
Anapc13,0.2247,0.3275102738815652,0.5292,108.92
C1galt1c1,0.2247,0.3275102738815652,0.5292,19.17
Hmcn1,0.2247,0.3275102738815652,0.5292,3.09
Wrnip1,0.2247,0.3275102738815652,0.5292,36.57
Cbx6,0.2247,0.3275102738815652,0.5292,231.29
Gm42940,0.2247,0.3275102738815652,0.5292,0.75
Itgb3,0.2247,0.3275102738815652,0.5292,3.63
Hivep2,0.2247,0.3275102738815652,0.5292,47.57
Hapln4,0.2241,0.32878599697062627,0.5312,7.85
Gm43658,0.2235,0.33003798555082364,0.532,0.53
Gm47816,0.2234,0.330387908876124,0.532,0.88
Pmpca,0.2234,0.330387908876124,0.532,34.35
Trafd1,0.2234,0.330387908876124,0.532,42.38
Palb2,0.2234,0.330387908876124,0.532,0.96
Sf3a3,0.2234,0.330387908876124,0.532,11.28
Gm42971,0.2234,0.330387908876124,0.532,24.39
Wac,0.2234,0.330387908876124,0.532,87.9
Pcgf6,0.2234,0.330387908876124,0.532,10.1
Gm45221,0.2234,0.330387908876124,0.532,2.3
Ngrn,0.2234,0.330387908876124,0.532,79.43
Zfp511,0.2234,0.330387908876124,0.532,23.77
Calr4,0.2234,0.3302267363197822,0.532,0.64
Gm37264,0.2234,0.330387908876124,0.532,0.5
Gm44894,0.2234,0.330387908876124,0.532,2.41
Tnfaip6,0.2234,0.330387908876124,0.532,4.2
Cdkn2c,0.2234,0.330387908876124,0.532,3.34
Atg9a,0.2234,0.330387908876124,0.532,1.64
Psmd1,0.2234,0.330387908876124,0.532,98.97
BC005537,0.2234,0.330387908876124,0.532,450.37
Chek1,0.2234,0.330387908876124,0.532,1.18
Gm43890,0.2234,0.330387908876124,0.532,0.52
Htr4,0.2232,0.33087729152152,0.5328,1.03
Gm11713,0.2222,0.333117320097801,0.5347,0.79
Fbxl22,0.2222,0.3331194525915887,0.5347,0.62
Lman2,0.2221,0.3332805195945379,0.5347,49.74
Fgl2,0.2221,0.3332805195945379,0.5347,1.89
Cadps2,0.2221,0.3332805195945379,0.5347,15.85
Mdp1,0.2221,0.3332805195945379,0.5347,45.95
Fbxo5,0.2221,0.3332805195945379,0.5347,0.88
Fahd2a,0.2221,0.3332805195945379,0.5347,12.41
Gm37238,0.2221,0.3332805195945379,0.5347,1.31
AW554918,0.2221,0.3332805195945379,0.5347,9.67
Gm37524,0.2221,0.3332805195945379,0.5347,1.48
Uri1,0.2221,0.3332805195945379,0.5347,53.98
