gene,spearman_rho,p_value,q_value,mean_CPM_across_clusters
Sf3b2,0.7545,7.743165110703199e-05,0.005,134.81
Atxn1,0.7545,7.743165110703199e-05,0.005,48.23
Pmepa1,0.7545,7.743165110703199e-05,0.005,70.77
Rpgrip1l,0.7545,7.743165110703199e-05,0.005,12.72
Tmem51,0.7532,8.096085622580346e-05,0.0051,19.41
Wdr72,0.7532,8.096085622580346e-05,0.0051,4.29
Fam210a,0.7532,8.096085622580346e-05,0.0051,27.44
Id3,0.7532,8.096085622580346e-05,0.0051,94.35
Phlpp1,0.7519,8.462836509502957e-05,0.0052,10.16
Kcnn4,0.7519,8.462836509502957e-05,0.0052,4.19
D830039M14Rik,0.7519,8.462836509502957e-05,0.0052,1.56
Alpl,0.7519,8.462836509502957e-05,0.0052,2.2
Begain,0.7519,8.462836509502957e-05,0.0052,27.74
Igf1,0.7506,8.84386872841125e-05,0.0053,26.27
Rapgef2,0.7506,8.84386872841125e-05,0.0053,41.18
Rps6ka2,0.7506,8.84386872841125e-05,0.0053,44.76
Rapgef6,0.7506,8.84386872841125e-05,0.0053,93.33
Dhx30,0.7506,8.84386872841125e-05,0.0053,54.81
Dab2ip,0.7506,8.84386872841125e-05,0.0053,70.08
Aebp2,0.7494,9.239644804249884e-05,0.0054,32.17
Sipa1l3,0.7494,9.239644804249884e-05,0.0054,12.77
St7,0.7494,9.239644804249884e-05,0.0054,7.3
Sulf2,0.7494,9.239644804249884e-05,0.0054,16.88
Rem2,0.7481,9.650639036965674e-05,0.0055,6.92
Tspyl4,0.7481,9.650639036965674e-05,0.0055,244.67
Thsd7b,0.7481,9.650639036965674e-05,0.0055,12.53
Smarca4,0.7481,9.650639036965674e-05,0.0055,77.07
Cyp46a1,0.7468,0.00010077337710134945,0.0056,6.6
Pigo,0.7468,0.00010077337710134945,0.0056,5.63
Abcc10,0.7468,0.00010077337710134945,0.0056,4.72
Prex2,0.7468,0.00010077337710134945,0.0056,6.5
Slc22a17,0.7455,0.00010520239301192448,0.0057,131.39
Farp2,0.7455,0.00010520239301192448,0.0057,4.13
Gm47570,0.7449,0.00010722613246872218,0.0058,0.65
Sfrp5,0.7442,0.00010979854693235152,0.0059,54.08
Plppr4,0.7442,0.00010979854693235152,0.0059,18.72
Sparc,0.7442,0.00010979854693235152,0.0059,106.32
Haghl,0.7442,0.00010979854693235152,0.0059,34.19
Gm37578,0.7442,0.00010979854693235152,0.0059,1.68
Slc35f1,0.7442,0.00010979854693235152,0.0059,19.75
Atp2b3,0.7429,0.00011456707388370871,0.006,9.52
Rgma,0.7429,0.00011456707388370871,0.006,6.79
Abca8a,0.7429,0.00011456707388370871,0.006,82.16
Fnta,0.7429,0.00011456707388370871,0.006,62.42
Pramel12,0.7429,0.00011456707388370871,0.006,10.03
Castor2,0.7429,0.00011456707388370871,0.006,56.07
Ypel2,0.7416,0.00011951333722583987,0.0061,21.95
Tpd52l1,0.7416,0.00011951333722583987,0.0061,23.29
Fam216a,0.7416,0.00011951333722583987,0.0061,34.5
Mfap3l,0.7416,0.00011951333722583987,0.0061,27.27
Rora,0.7416,0.00011951333722583987,0.0061,15.1
Kctd15,0.7403,0.00012464283082086607,0.0063,7.49
Nop56,0.7403,0.00012464283082086607,0.0063,16.47
Zfp36l2,0.739,0.00012996118121126078,0.0065,15.65
Prkg2,0.739,0.00012996118121126078,0.0065,24.64
Sltm,0.739,0.00012996118121126078,0.0065,60.91
Glrx,0.739,0.00012996118121126078,0.0065,25.13
Fmo1,0.7377,0.00013547414981215296,0.0066,6.78
Elapor1,0.7377,0.00013547414981215296,0.0066,16.06
Kcnn2,0.7377,0.00013547414981215296,0.0066,4.93
Echdc2,0.7377,0.00013547414981215296,0.0066,7.63
Mboat2,0.7377,0.00013547414981215296,0.0066,31.0
Slc1a3,0.7377,0.00013547414981215296,0.0066,7.34
Ythdc2,0.7377,0.00013547414981215296,0.0066,18.21
Gm38240,0.7373,0.00013716793371630569,0.0066,0.61
Timp3,0.7364,0.0001411876351175595,0.0067,84.18
Pard3,0.7364,0.0001411876351175595,0.0067,20.17
Itga1,0.7364,0.0001411876351175595,0.0067,5.32
Limch1,0.7364,0.0001411876351175595,0.0067,12.35
Phospho2,0.7364,0.0001411876351175595,0.0067,22.25
Atosa,0.7351,0.00014710767492018736,0.0068,15.35
Vav3,0.7351,0.00014710767492018736,0.0068,24.87
Gm10654,0.7351,0.00014710767492018736,0.0068,2.6
Tapbp,0.7351,0.00014710767492018736,0.0068,80.41
Trmu,0.7338,0.00015324044854450608,0.0069,8.47
Nudcd1,0.7338,0.00015324044854450608,0.0069,18.96
Tafa2,0.7338,0.00015324044854450608,0.0069,56.36
Zc2hc1a,0.7338,0.00015324044854450608,0.0069,120.84
Brd10,0.7338,0.00015324044854450608,0.0069,32.56
Sncb,0.7325,0.00015959227909270518,0.0071,229.36
Resp18,0.7325,0.00015959227909270518,0.0071,146.24
Sgpp1,0.7325,0.00015959227909270518,0.0071,39.9
Asph,0.7325,0.00015959227909270518,0.0071,58.48
Arhgef7,0.7325,0.00015959227909270518,0.0071,43.57
Ctxn2,0.7312,0.0001661696357032209,0.0072,24.45
Panx2,0.7312,0.0001661696357032209,0.0072,71.13
Srpk3,0.7312,0.0001661696357032209,0.0072,1.94
Frmd5,0.7312,0.0001661696357032209,0.0072,4.35
Mcm4,0.7312,0.0001661696357032209,0.0072,7.38
Marf1,0.7312,0.0001661696357032209,0.0072,153.43
Mlycd,0.7299,0.00017297913582145047,0.0073,17.69
Lrrc4b,0.7299,0.00017297913582145047,0.0073,29.05
Cmtm5,0.7299,0.00017297913582145047,0.0073,29.13
Klhl40,0.7299,0.00017297913582145047,0.0073,1.07
Prkacb,0.7299,0.00017297913582145047,0.0073,209.71
Stk32c,0.7299,0.00017297913582145047,0.0073,50.27
Xpr1,0.7286,0.00018002754748230472,0.0075,38.46
Igf2r,0.7286,0.00018002754748230472,0.0075,16.4
Rspo2,0.7286,0.00018002754748230472,0.0075,98.76
Rhobtb1,0.7286,0.00018002754748230472,0.0075,2.89
Nr1d2,0.7286,0.00018002754748230472,0.0075,32.89
Gpr137c,0.7286,0.00018002754748230472,0.0075,25.54
Notch1,0.7273,0.00018732179160421095,0.0077,15.35
Ctbs,0.7273,0.00018732179160421095,0.0077,2.56
B3galt5,0.726,0.00019486894429420693,0.0079,5.96
Dync1i1,0.726,0.00019486894429420693,0.0079,57.0
Tmem47,0.726,0.00019486894429420693,0.0079,101.27
Dgkb,0.726,0.00019486894429420693,0.0079,55.78
Sorbs2,0.726,0.00019486894429420693,0.0079,15.77
Gemin8,0.726,0.00019486894429420693,0.0079,2.46
Gm29514,0.7252,0.00019920847847941557,0.008,0.41
Slc12a5,0.7247,0.00020267623916371931,0.0081,1.9
Gm49980,0.7247,0.00020267623916371931,0.0081,11.85
Camk2b,0.7247,0.00020267623916371931,0.0081,59.9
Gm29214,0.7243,0.00020522193298581573,0.0081,0.77
Pde1b,0.7238,0.00020819928197412098,0.0082,1.54
Slc25a33,0.7234,0.00021075106965465283,0.0082,61.67
Gm13523,0.7234,0.00021075106965465283,0.0082,1.18
Gm44093,0.7234,0.00021075106965465283,0.0082,2.86
Ubp1,0.7234,0.00021075106965465283,0.0082,33.94
Macrod2,0.7234,0.00021075106965465283,0.0082,49.43
Eif4ebp2,0.7234,0.00021075106965465283,0.0082,23.42
Trabd,0.7221,0.0002191009913753788,0.0084,38.98
AI504432,0.7221,0.0002191009913753788,0.0084,32.01
Map3k13,0.7221,0.0002191009913753788,0.0084,13.57
1700001O22Rik,0.7221,0.0002191009913753788,0.0084,0.82
Smim45,0.7216,0.00022235017664770627,0.0085,4.4
Pkd1,0.7208,0.00022773372444622573,0.0086,40.65
Hcn4,0.7208,0.00022773372444622573,0.0086,18.37
Myo19,0.7195,0.00023665715585405198,0.0088,2.36
Plppr3,0.7195,0.00023665715585405198,0.0088,11.97
Spcs2,0.7195,0.00023665715585405198,0.0088,130.58
Syt3,0.7182,0.00024587934181549394,0.009,23.16
B3gat1,0.7182,0.00024587934181549394,0.009,9.89
Cadm2,0.7182,0.00024587934181549394,0.009,31.93
Gm37063,0.7182,0.00024587934181549394,0.009,3.11
Ptpn4,0.7182,0.00024587934181549394,0.009,15.04
Hes5,0.7182,0.00024587934181549394,0.009,7.01
Wnt7a,0.7182,0.00024587934181549394,0.009,3.81
Gm43174,0.7178,0.00024889989303154565,0.009,0.69
Ssrp1,0.7169,0.00025540851014844843,0.0091,51.27
Rassf8,0.7169,0.00025540851014844843,0.0091,8.79
Slc27a1,0.7169,0.00025540851014844843,0.0091,36.42
Olfml3,0.7169,0.00025540851014844843,0.0091,1.85
Khdrbs3,0.7169,0.00025540851014844843,0.0091,56.47
Efemp1,0.7169,0.00025540851014844843,0.0091,2.27
Adamts5,0.7169,0.00025540851014844843,0.0091,35.86
Antxr1,0.7169,0.00025540851014844843,0.0091,9.3
Chrnb2,0.7169,0.00025540851014844843,0.0091,58.19
Papss1,0.7156,0.0002652530626513761,0.0093,43.32
Cnnm4,0.7156,0.0002652530626513761,0.0093,18.0
Cyb561a3,0.7156,0.0002652530626513761,0.0093,7.22
5033430I15Rik,0.7156,0.0002652530626513761,0.0093,7.21
Aatk,0.7156,0.0002652530626513761,0.0093,159.97
Crispld1,0.7156,0.0002652530626513761,0.0093,5.96
Wfdc1,0.7152,0.00026848324509818385,0.0094,2.13
C130023A14Rik,0.7143,0.00027542157748998105,0.0094,6.33
Efnb2,0.7143,0.00027542157748998105,0.0094,12.01
Acad10,0.7143,0.00027542157748998105,0.0094,8.76
Scube1,0.7143,0.00027542157748998105,0.0094,28.04
Pias2,0.7143,0.00027542157748998105,0.0094,12.42
Traf3ip1,0.7143,0.00027542157748998105,0.0094,6.97
Foxp4,0.7143,0.00027542157748998105,0.0094,5.81
Serpinh1,0.7143,0.00027542157748998105,0.0094,27.22
Cables2,0.713,0.0002859228115908151,0.0095,20.78
Abr,0.713,0.0002859228115908151,0.0095,130.83
Gm36963,0.713,0.0002859228115908151,0.0095,3.56
Bpnt2,0.713,0.0002859228115908151,0.0095,120.83
Trub1,0.713,0.0002859228115908151,0.0095,14.77
Snx5,0.713,0.0002859228115908151,0.0095,29.57
Cxxc5,0.713,0.0002859228115908151,0.0095,65.58
Tbl2,0.713,0.0002859228115908151,0.0095,13.46
Ikzf5,0.713,0.0002859228115908151,0.0095,22.21
R3hcc1,0.713,0.0002859228115908151,0.0095,22.45
Klhl4,0.7126,0.00028942348983525496,0.0096,0.6
Gm43466,0.7126,0.00028937464733753065,0.0096,1.34
Myrip,0.7117,0.0002967657030413711,0.0096,6.62
Ppp1r9a,0.7117,0.0002967657030413711,0.0096,54.46
Rcc2,0.7117,0.0002967657030413711,0.0096,42.71
Map2k6,0.7117,0.0002967657030413711,0.0096,2.72
Agap1,0.7117,0.0002967657030413711,0.0096,89.81
Ptgfrn,0.7117,0.0002967657030413711,0.0096,13.27
Plxna1,0.7117,0.0002967657030413711,0.0096,18.74
Naa40,0.7117,0.0002967657030413711,0.0096,16.16
Clcn3,0.7117,0.0002967657030413711,0.0096,182.16
Msh2,0.7117,0.0002967657030413711,0.0096,12.97
Txndc15,0.7104,0.00030795937349621525,0.0097,53.84
Setdb1,0.7104,0.00030795937349621525,0.0097,16.37
Kcnq2,0.7104,0.00030795937349621525,0.0097,86.34
Kctd7,0.7104,0.00030795937349621525,0.0097,15.34
