gene,nav11_mean,nav18_mean,ratio,kruskal_p,is_target
Cntfr,79.351,69.475,1.142,0.1598685556691316,False
Cntn1,538.208,122.174,4.405,0.00438548939209379,False
Cntn3,31.749,16.467,1.928,0.03036847223425402,False
Col16a1,8.145,8.234,0.989,0.34227921045774523,False
Col24a1,30.193,13.539,2.23,0.052705041790226705,False
Col5a3,30.536,32.376,0.943,0.8493606187801671,False
Cops2,81.687,78.667,1.038,0.9696981596092581,False
Cox19,68.712,68.544,1.002,0.9696981596092581,False
Cplx2,245.451,51.549,4.762,0.1598685556691316,False
Cpne6,50.048,30.117,1.662,0.1598685556691316,False
Cpne7,19.969,10.511,1.9,0.568811400413345,False
Cpt1a,91.135,81.262,1.121,0.27062738558725485,False
Crim1,98.991,13.187,7.507,0.013543601483181497,False
Csnk2b,136.505,103.789,1.315,0.07419931719571338,False
Ctnna1,65.729,87.621,0.75,0.03668277440246512,False
Ctnnd2,119.906,98.475,1.218,0.03668277440246512,False
Cttnbp2nl,16.03,12.209,1.313,0.02501152559403936,False
Ctxn2,37.899,10.827,3.5,0.0020914050461957145,False
Ctxn3,26.749,28.069,0.953,0.6214268342178658,False
Cul3,105.959,98.059,1.081,0.7903100546926771,False
Cul7,19.032,18.729,1.016,0.38228287503993563,False
Cxcr4,27.22,8.117,3.353,0.010924033386052627,False
Cyp1b1,59.607,136.167,0.438,0.010924033386052563,False
Cyp46a1,8.763,5.025,1.744,0.006995319905603779,False
Cyp51,95.132,95.625,0.995,0.732439899903881,False
Daam2,17.866,14.034,1.273,0.1598685556691316,False
Dars2,5.202,6.264,0.83,0.20999967175560622,False
Dazap2,86.414,100.023,0.864,0.11936102290912955,False
Dcaf1,20.257,18.196,1.113,0.06269390820871207,False
Dcdc2a,17.79,253.355,0.07,0.0016165203483961817,False
Dcp1a,5.699,5.805,0.982,0.9696981596092581,False
Ddr2,2.846,21.442,0.133,0.00022894942526757402,False
Dhfr,5.532,5.554,0.996,0.9092690452142275,False
Diras1,150.76,126.644,1.19,0.7903100546926771,False
Dis3l2,14.701,14.82,0.992,0.8493606187801671,False
Dkk3,39.395,127.896,0.308,0.0034446936330652608,False
Dlg1,20.294,14.933,1.359,0.5184240444618633,False
Dock5,12.968,17.759,0.73,0.4704479999364616,False
Dock6,4.166,6.397,0.651,0.27062738558725485,False
Dok5,38.984,22.687,1.718,0.11936102290912955,False
Dok7,8.648,4.944,1.749,0.03668277440246512,False
Dot1l,18.202,18.975,0.959,0.38228287503993563,False
Dpp10,52.089,10.573,4.927,0.020492927306024925,False
Dpysl4,14.1,15.93,0.885,0.9092690452142275,False
Dusp15,19.9,20.607,0.966,0.7903100546926771,False
Dusp5,14.412,7.099,2.03,0.07419931719571338,False
E230016M11Rik,5.518,5.309,1.039,0.4704479999364616,False
Echdc2,12.095,4.24,2.853,0.052705041790226705,False
Efl1,5.45,4.919,1.108,0.42503065278493135,False
Ei24,99.52,118.619,0.839,0.10237755581065143,False
Eif3b,87.039,101.238,0.86,0.07419931719571338,False
Eif4b,114.41,100.825,1.135,0.052705041790226705,False
Elmo1,103.048,108.766,0.947,0.6760528085643427,False
Elovl1,16.249,21.622,0.751,0.18366985885429593,False
Emc1,98.563,89.358,1.103,0.38228287503993563,False
Emc2,71.923,60.528,1.188,0.10237755581065143,False
Enc1,38.044,10.324,3.685,0.03036847223425402,False
Endov,19.263,15.107,1.275,0.010924033386052627,False
Entrep1,52.043,15.37,3.386,0.0005466219592185199,False
Eps8l1,6.188,5.312,1.165,0.34227921045774523,False
Ercc8,6.661,5.548,1.201,0.42503065278493135,False
Etl4,92.009,126.574,0.727,0.6214268342178658,False
Exoc7,22.315,19.192,1.163,0.11936102290912955,False
Fabp3,160.911,115.451,1.394,0.052705041790226705,False
Fam168a,123.501,112.538,1.097,0.27062738558725485,False
Fam177a,7.471,5.847,1.278,0.732439899903881,False
Fam32a,63.328,68.235,0.928,0.18366985885429593,False
Fam91a1,71.215,80.737,0.882,0.34227921045774523,False
Fat3,17.328,5.617,3.085,0.02501152559403936,False
Fbln2,28.503,16.4,1.738,0.052705041790226705,False
Fdxr,7.666,8.247,0.93,0.27062738558725485,False
Fermt2,113.112,60.393,1.873,0.0007226712449063665,False
Fez2,75.3,61.428,1.226,0.1598685556691316,False
Fhl1,77.876,162.027,0.481,0.00438548939209379,False
Fign,26.362,17.663,1.492,0.07419931719571338,False
Fkbp9,22.323,12.015,1.858,0.03036847223425402,False
Flcn,14.821,15.895,0.932,0.4704479999364616,False
Flna,16.87,20.398,0.827,0.30505885926167353,False
Flrt2,53.331,15.807,3.374,0.020492927306024925,False
Fsd1l,70.776,82.691,0.856,0.06269390820871207,False
Fto,94.765,66.64,1.422,0.0001694392021937069,False
G0s2,47.766,16.007,2.984,0.0009502496592265887,False
Gabra2,25.149,15.286,1.645,0.568811400413345,False
Gak,73.207,75.202,0.973,0.6760528085643427,False
Gas7,18.766,17.436,1.076,0.10237755581065143,False
Gcc1,16.609,13.694,1.213,0.01670340384716159,False
Gem,21.396,16.761,1.277,0.732439899903881,False
Gemin2,5.669,5.527,1.026,0.30505885926167353,False
Ggact,13.882,16.795,0.827,0.18366985885429593,False
Gm11696,3.714,6.8,0.546,0.010924033386052563,False
Gm13446,12.795,3.543,3.611,0.0034446936330652608,False
Gm17167,4.471,6.394,0.699,0.34227921045774523,False
Gm20186,7.403,16.403,0.451,0.00041121782685697906,False
Gm34006,22.506,9.69,2.323,0.0034446936330652608,False
Gm37254,7.397,7.471,0.99,0.13847671503211265,False
Gm42770,15.418,27.796,0.555,0.030306188482077754,False
Gm43341,10.594,27.935,0.379,0.04408270855615712,False
Gm43527,7.206,4.813,1.497,0.03668277440246512,False
Gm44435,14.83,19.999,0.742,0.42503065278493135,False
Gm45809,25.32,32.452,0.78,0.732439899903881,False
Gm49027,37.693,38.834,0.971,0.6760528085643427,False
Gm5617,19.995,15.642,1.278,0.11936102290912955,False
Gm9385,18.518,16.295,1.136,0.4704479999364616,False
Gm9916,3.511,6.011,0.584,0.020492927306024925,False
Golga7,83.531,86.263,0.968,0.732439899903881,False
Gpbp1,65.574,62.853,1.043,0.38228287503993563,False
Gpha2,38.552,20.074,1.92,0.38228287503993563,False
Gpm6b,163.454,104.153,1.569,0.0034446936330652608,False
Gpr119,5.187,8.019,0.647,0.4704479999364616,False
Gpr37l1,36.772,23.296,1.578,0.01670340384716159,False
Gprc5b,15.012,6.001,2.502,0.008764828179775055,False
Gria2,121.088,115.181,1.051,0.38228287503993563,False
Gstm5,103.47,91.868,1.126,0.07419931719571338,False
Gstm6,7.13,16.589,0.43,0.008764828179775055,False
Gstp1,126.984,116.24,1.092,0.6214268342178658,False
Hcfc1,71.919,71.252,1.009,0.6760528085643427,False
Hdac9,49.681,80.525,0.617,0.013543601483181497,False
Hdhd5,6.65,6.477,1.027,0.23895905206052603,False
Hecw1,96.439,96.084,1.004,0.9696981596092581,False
Hexb,30.359,23.174,1.31,0.07419931719571338,False
Hexim2,5.659,4.62,1.225,0.30505885926167353,False
Hey2,36.297,23.237,1.562,0.010924033386052627,False
Hgs,69.846,70.029,0.997,0.732439899903881,False
Hibch,15.806,18.249,0.866,0.20999967175560622,False
Hic2,6.336,5.497,1.153,0.568811400413345,False
Hif1a,75.398,101.259,0.745,0.6760528085643427,False
Hmga1,37.661,21.357,1.763,0.0034446936330652608,False
Hps4,25.416,21.383,1.189,0.008764828179775055,False
Hs3st2,29.871,15.866,1.883,0.6214268342178658,False
Hsdl2,72.038,65.929,1.093,0.6214268342178658,False
Ift20,127.808,112.942,1.132,0.23895905206052603,False
Igfbp2,9.46,23.942,0.395,0.27062738558725485,False
Igfbp5,38.106,10.369,3.675,0.0020914050461957145,False
Igfbp7,8.431,21.389,0.394,0.03036847223425402,False
Impdh1,98.341,98.535,0.998,0.9696981596092581,False
Ina,70.181,14.097,4.978,0.020492927306024925,False
Iqcb1,18.009,16.856,1.068,0.34227921045774523,False
Itm2a,104.153,153.63,0.678,0.08737528034076734,False
Jkamp,94.212,92.683,1.016,0.7903100546926771,False
Kazn,26.548,9.385,2.829,0.005553517553973438,False
Kcna1,38.766,21.57,1.797,0.6214268342178658,False
Kcnh8,22.753,13.441,1.693,0.04408270855615712,False
