cell,subtype,Oprl1,Scn1a,Calb2,Calb1,Lypd1,Pou4f1,Pvalb
500,Ib,30.2776842113231,121.1107368452924,269.2551203078375,125.97679323639787,359.54750000946177,274.66184963128813,1135.9538308569613
502,Ia,0.7071300631396433,263.05238348794734,10838.182477741313,62.93457561942825,0.0,0.0,777.135939390468
504,Ic,16.804618304512864,86.32960776043863,1152.5991142977646,0.0,1655.0901518346689,813.2117250105441,734.1311682834247
506,Ib,90.80792235130356,315.38993165637305,2255.5712793434527,585.680626708743,0.0,71.30554976578868,943.4272738242812
510,Ia,112.66860857272908,350.77493468976326,9817.942551027612,0.0,0.0,0.0,1193.5361268137767
516,Ib,138.63332745191943,201.648476293701,759.4695329974717,219.73108422221225,144.11290561207434,190.14136215737568,811.5255255189435
518,Ia,78.33386663309501,238.8483522785888,9607.788624453806,0.0,0.0,0.0,911.6803138949942
519,Ib,137.33322336586707,278.4497311219784,1119.0955226342555,207.7023130244105,0.0,0.0,674.5596067805536
520,Ic,57.724446021307365,385.2050836934071,0.0,0.0,4516.585922837902,895.9960353160976,533.0359820406577
521,Ic,70.08391453704647,456.0929750731227,0.0,0.0,3727.0406738568386,1148.7191617087774,626.9225167571734
522,Ic,98.41925741592696,591.9523219760863,0.0,0.0,5076.494033063123,1793.0982956945525,663.4320016321792
523,Ib,55.27755915356896,451.1701732819866,819.16078136146,272.17617221328715,0.0,151.09199501975516,697.0236982792885
524,Ib,83.90878749977959,238.9576339667636,2376.807611135061,130.72745878588847,0.0,85.12485688383437,743.0183936574686
527,Ib,0.0,347.7823305703489,2076.8218166986853,159.92910091921155,0.0,0.0,741.5407518811414
528,Ib,0.0,425.300516949385,1871.1526068178728,96.14506367206842,0.0,40.72026226111133,514.0933110465305
529,Ib,59.896415575396006,410.5450670815605,220.91350036107596,569.6221869903045,259.22780668056004,653.2831723081654,516.2731528745672
53,Ia,16.123493058030064,408.73054902106213,8783.272843361878,0.0,0.0,0.0,1127.0321647563014
530,Ib,46.56087756267931,367.77861715239953,1938.2927120194026,511.12334133413134,0.26157796383527704,0.0,340.0513529858601
533,Ic,34.496018820123055,333.65001809627216,147.03221136445893,2.2620340209916754,3486.925443358668,1017.349800941006,637.3280854144047
535,Ib,13.22201815766958,323.2996697907594,1290.6395788744564,430.7818819111702,0.0,120.70423027808036,611.624968970909
537,Ib,57.12755650673153,394.06355304643387,2515.555600463083,90.54912017733638,1.9431141668956302,45.85749433873688,838.259451598775
539,Ib,61.38270067782602,456.5128722542143,873.4456424320161,606.4476657131663,0.0,146.24512292640517,477.98004626176
54,Ia,70.03355520775607,514.5943839178598,13321.165184362248,0.0,0.0,0.0,658.576413568588
541,Ia,0.8135860186869861,562.7303295918321,7275.086179099029,0.0,0.0,0.0,519.0678799222972
544,Ia,14.765214630851178,438.2584160884463,8606.777837547068,0.0,0.0,0.0,1032.2227319204142
545,Ia,55.848089345388175,198.3570069853442,10749.312851848981,0.0,0.0,0.0,1044.7444299956235
546,Ia,0.0,326.15633708529884,14815.982438933257,0.0,0.0,0.0,983.9179238086341
551,Ia,141.28738005847006,205.8213455446361,11215.54497215493,0.0,0.0,0.0,866.8171695479109
554,Ic,108.76654970272186,331.0881135604867,0.0,0.0,4667.042675137232,1175.2259898696616,979.5830136748284
556,Ia,0.0,227.10331063190827,5615.129355373932,0.0,0.0,0.0,555.0672092209288
58,Ic,0.0,117.52486605178728,1.0044860346306606,0.0,5324.780469577132,536.3955424927727,1793.007571815729
59,Ib,26.61307423073192,420.65827009866587,2381.440900517753,382.0263881508292,0.0,48.07523086841895,929.7406255446022
64,Ib,0.0,561.2053622217929,1715.6849645066243,174.85173870583753,0.0,640.6140121144003,971.9924164739352
75,Ia,0.0,459.0855284886379,18567.323488634887,0.0,0.0,0.0,730.1413458409721
76,Ib,45.77945313835536,149.50758113538836,2463.108424868094,156.4614221184297,0.0,89.2409592823636,680.8969295894626
78,Ia,0.0,41.73130570947344,19482.211545693597,0.0,0.0,0.0,972.4364725788928
79,Ia,55.44701582180596,197.62900639343698,15844.380821194065,0.0,0.0,0.0,555.2622584440854
80,Ib,0.0,1.6831681263741867,3994.398416475427,1148.8824725451234,0.0,64.44129398118315,371.0183455707671
90,Ia,20.154630806353186,288.88304155772903,11751.269461815373,69.79474001459344,0.0,0.0,656.518436821764
91,Ib,28.069414009703998,490.6250515981875,1857.0629957848705,119.11810146975226,0.0,222.4324152197552,652.4369676541282
94,Ic,2.304514736411525,452.0689741260608,330.6978646750538,0.0,3199.0505399285985,1113.0806176867666,852.6704524722642
96,Ib,22.9939454851179,400.0946514410515,2662.6988871766525,109.11672312028676,0.0,226.5948809624346,1064.8287118290054
99,Ia,0.3520493319687901,162.29474203761225,16117.170466863181,0.0,0.0,0.0,1212.809948632482
