,median_log2fc,ci_lo,ci_hi,top30_support,n_datasets,n_positive,n_deposits,neuron_over_glia_log2
Nedd4l,0.033,-0.004,0.127,0.0,13,9,8,0.384
Zkscan1,0.033,-0.029,0.049,0.0,13,9,8,-0.41
Tmem106b,0.033,-0.032,0.112,0.0,13,8,8,-0.821
Xpc,0.033,-0.029,0.081,0.0,13,8,8,0.131
Csde1,0.033,0.015,0.091,0.0,13,11,8,0.212
Mid1,0.033,-0.126,0.133,0.0,10,7,5,-1.027
Luc7l2,0.033,-0.046,0.075,0.0,13,9,8,-0.559
Gtf2i,0.033,-0.049,0.086,0.0,13,9,8,-0.204
Ppp6r3,0.033,-0.095,0.198,0.0,13,8,8,-0.497
Ppp2r5e,0.033,-0.04,0.135,0.0,13,7,8,0.032
Cacna2d1,0.033,-0.042,0.137,0.0,13,8,8,1.213
Maged1,0.033,0.006,0.141,0.0,13,10,8,0.239
Tada1,0.033,-0.169,0.053,0.0,13,7,8,0.064
Rnf4,0.033,0.023,0.056,0.0,13,10,8,-0.329
Stx2,0.033,-0.001,0.142,0.0,13,9,8,0.651
Trmt1l,0.033,-0.042,0.098,0.0,12,7,7,-0.295
Nphp1,0.033,-0.084,0.06,0.0,11,7,6,-1.381
Ephb6,0.033,-0.346,0.201,0.0,11,6,6,-0.962
Gm26917,0.033,-0.049,0.144,0.0,10,6,5,-0.896
Strn,0.033,-0.157,0.096,0.0,11,6,6,-0.143
Vhl,0.033,-0.109,0.086,0.0,12,7,7,-0.236
Ehmt1,0.033,-0.149,0.09,0.0,13,7,8,-0.358
Vps37d,0.033,-0.159,0.061,0.0,12,7,7,0.946
Zbtb17,0.032,-0.18,0.161,0.0,13,8,8,-0.241
Slc30a1,0.032,-0.062,0.349,0.0057,10,5,6,-0.867
Txndc12,0.032,-0.127,0.053,0.0,13,7,8,-2.28
Bloc1s3,0.032,-0.518,0.231,0.0,12,7,7,0.696
Ttc9,0.032,-0.045,0.143,0.0,13,9,8,0.978
Zcchc7,0.032,-0.101,0.191,0.0,13,7,8,-0.206
Smarca2,0.032,-0.034,0.112,0.0,13,7,8,0.097
Abhd12,0.032,-0.025,0.189,0.0,13,8,8,0.214
Acbd5,0.032,-0.056,0.054,0.0,13,8,8,0.347
Tmem209,0.032,-0.095,0.203,0.0,13,7,8,-0.568
Jmjd1c,0.032,-0.18,0.188,0.0,13,7,8,-0.942
Tmem8b,0.032,-0.068,0.232,0.0,13,8,8,0.785
Mycbp,0.032,-0.035,0.054,0.0,13,8,8,0.246
Rnf220,0.032,-0.042,0.075,0.0,13,8,8,0.301
Spock3,0.032,-0.043,0.086,0.0,13,9,8,1.766
Rsf1,0.032,-0.01,0.098,0.0,13,8,8,-0.048
Sap30l,0.032,-0.061,0.067,0.0,13,8,8,0.416
Ahctf1,0.032,-0.107,0.171,0.0,13,8,8,-0.654
Phf8,0.032,-0.148,0.165,0.0,13,8,8,-0.053
Gnaq,0.032,-0.052,0.055,0.0,13,7,8,0.601
E130307A14Rik,0.032,-0.119,0.238,0.0003,11,7,7,-0.391
Zfr,0.032,0.008,0.049,0.0,13,12,8,0.484
Ifngr1,0.032,-0.031,0.182,0.0,13,9,8,-2.477
B3gat3,0.032,0.003,0.08,0.0,13,10,8,0.619
Mob3a,0.032,-0.123,0.144,0.0,13,8,8,0.502
Cul1,0.032,-0.082,0.07,0.0,13,8,8,0.087
Zscan21,0.032,-0.183,0.137,0.0,12,7,7,-0.297
Rhou,0.032,-0.107,0.133,0.0,11,6,7,0.696
Max,0.032,0.018,0.168,0.0,13,10,8,-0.126
Smc5,0.032,-0.123,0.182,0.0,13,7,8,-0.641
Ppip5k2,0.032,-0.029,0.172,0.0,13,8,8,0.069
St7l,0.032,-0.003,0.083,0.0,13,9,8,-0.072
Cplx1,0.032,-0.021,0.172,0.0,13,8,8,2.207
Oas1c,0.032,-0.067,0.182,0.0,13,8,8,1.365
Dusp18,0.032,-0.388,0.192,0.0,11,6,6,-0.828
Wdr48,0.032,-0.121,0.074,0.0,13,7,8,0.167
Copb1,0.032,-0.049,0.072,0.0,13,8,8,-0.464
Ap5z1,0.032,-0.313,0.23,0.0,12,7,7,0.163
Kdm4b,0.032,-0.183,0.096,0.0,13,7,8,0.173
Ptprd,0.031,-0.061,0.107,0.0,12,7,7,0.84
Taf3,0.031,-0.089,0.053,0.0,13,7,8,-0.616
Igtp,0.031,-0.141,0.076,0.0005,11,6,8,-1.493
Dtnb,0.031,-0.04,0.099,0.0,13,9,8,0.738
Seh1l,0.031,-0.036,0.123,0.0,13,8,8,-0.447
Ftsj1,0.031,-0.024,0.224,0.0,13,8,8,-0.318
Dtx1,0.031,-0.098,0.1,0.0,10,6,5,1.695
1110051M20Rik,0.031,0.004,0.06,0.0,13,10,8,0.612
Lgmn,0.031,-0.008,0.197,0.0,13,9,8,-0.23
AI597479,0.031,-0.069,0.1,0.0,13,8,8,0.216
Prrg3,0.031,-0.326,0.137,0.0,13,7,8,-0.373
Th,0.031,-0.315,0.275,0.0034,12,7,7,1.627
Ccdc92,0.031,0.025,0.171,0.0,13,10,8,1.963
Abce1,0.031,-0.056,0.1,0.0,13,8,8,0.294
Slx1b,0.031,-0.077,0.155,0.0,13,8,8,-0.326
Mlec,0.031,-0.06,0.151,0.0,13,8,8,-0.498
Vcp,0.031,-0.066,0.107,0.0,13,8,8,0.415
Gm13483,0.031,-0.116,0.113,0.0007,10,5,6,0.653
Omg,0.031,-0.047,0.374,0.006,13,8,8,1.527
Ssr3,0.031,-0.095,0.055,0.0,13,7,8,-1.078
Rabl2,0.031,-0.078,0.248,0.0,13,7,8,-0.148
Gsk3b,0.031,0.0,0.076,0.0,13,10,8,1.114
Ssbp3,0.031,-0.019,0.108,0.0,13,8,8,0.637
Stbd1,0.031,-0.139,0.16,0.0,11,6,7,-0.332
Nars2,0.031,-0.144,0.162,0.0,12,7,7,0.277
Trps1,0.031,-0.26,0.143,0.0,12,8,7,-1.804
Sphk2,0.031,-0.07,0.12,0.0,13,7,8,0.096
Zfp597,0.031,-0.074,0.194,0.0,12,8,8,0.556
Mfsd8,0.031,-0.173,0.215,0.0,12,7,7,-0.812
Ankrd49,0.031,-0.127,0.131,0.0,11,6,7,-0.881
Mccc2,0.031,-0.11,0.136,0.0,13,9,8,0.001
Exoc3,0.031,-0.045,0.146,0.0,13,8,8,0.402
Ccdc167,0.031,-0.173,0.161,0.0003,12,7,7,0.702
Psen2,0.031,-0.031,0.146,0.0001,13,8,8,0.52
Plxna4,0.031,-0.06,0.095,0.0,13,8,8,1.906
Amer1,0.031,-0.034,0.251,0.0,12,7,7,-0.002
Ctnnb1,0.031,-0.087,0.07,0.0,13,7,8,-0.847
Smyd4,0.031,-0.093,0.156,0.0008,13,8,8,-0.279
Gtf3c3,0.031,-0.06,0.169,0.0,13,7,8,0.435
Ttc5,0.031,-0.035,0.071,0.0,13,7,8,-0.047
Stoml1,0.031,-0.0,0.124,0.0,13,9,8,0.739
Tia1,0.03,-0.058,0.145,0.0,13,8,8,-0.218
Zkscan5,0.03,-0.154,0.121,0.0,12,7,7,0.169
Vars2,0.03,-0.224,0.314,0.0032,12,6,7,0.016
Cox18,0.03,-0.106,0.177,0.0,13,7,8,0.461
Snhg9,0.03,-0.029,0.093,0.0,11,7,6,-0.117
Zswim5,0.03,-0.445,0.255,0.0002,11,6,7,1.03
Eif4g2,0.03,-0.026,0.075,0.0,13,8,8,0.28
Ly6h,0.03,-0.126,0.155,0.0,11,7,6,2.17
Immt,0.03,-0.018,0.095,0.0,13,9,8,0.412
Rita1,0.03,-0.075,0.151,0.0,11,7,6,1.082
Ccnd1,0.03,-0.198,0.187,0.0,12,6,7,-0.056
Afg3l1,0.03,-0.04,0.079,0.0,13,8,8,-0.173
Klf13,0.03,-0.08,0.105,0.0,13,8,8,-0.361
Gon4l,0.03,-0.077,0.091,0.0,13,8,8,-0.199
Rad18,0.03,-0.237,0.164,0.0,12,6,7,-0.749
Mbd1,0.03,-0.011,0.101,0.0,13,9,8,-0.391
Camk1d,0.03,-0.095,0.238,0.0,13,7,8,0.808
Ak3,0.03,-0.07,0.109,0.0,13,8,8,-0.27
Tmx1,0.03,-0.058,0.157,0.0,13,9,8,0.324
Flot2,0.03,-0.014,0.065,0.0,13,8,8,1.235
Tdrp,0.03,-0.324,0.229,0.0,10,6,6,0.743
Bzw1,0.03,-0.061,0.048,0.0,13,7,8,-0.043
Jak1,0.03,-0.06,0.106,0.0,13,8,8,0.163
Hdac3,0.03,-0.029,0.121,0.0,13,9,8,0.152
St3gal3,0.03,-0.059,0.307,0.0,12,8,7,0.078
Rufy3,0.03,-0.017,0.091,0.0,13,8,8,1.902
Crebbp,0.03,-0.109,0.139,0.0,13,7,8,-0.475
Tox,0.03,-0.101,0.317,0.0004,11,6,6,0.052
Trmt61a,0.03,-0.235,0.215,0.0,11,6,6,-0.167
Nbr1,0.03,-0.095,0.134,0.0,13,8,8,-0.273
Ppp1r10,0.03,-0.108,0.095,0.0,13,7,8,-1.265
Appl1,0.03,-0.069,0.045,0.0,13,7,8,0.163
Prrt1,0.03,-0.142,0.134,0.0,11,6,6,0.081
Dse,0.03,-0.206,0.361,0.0021,11,6,6,-1.235
Zfp868,0.03,-0.133,0.075,0.0,12,7,7,-0.051
Shoc2,0.03,-0.003,0.128,0.0,13,9,8,0.813
Pex11b,0.03,-0.027,0.372,0.0,13,7,8,0.279
Pgs1,0.029,-0.056,0.074,0.0,13,9,8,0.693
Tpk1,0.029,-0.414,0.175,0.0,10,5,6,-0.054
Phf20,0.029,-0.037,0.09,0.0,13,8,8,0.276
Rab2b,0.029,-0.002,0.06,0.0,13,9,8,0.538
B230307C23Rik,0.029,-0.036,0.147,0.0,10,6,6,-0.341
Parp2,0.029,-0.12,0.171,0.0,13,8,8,-0.183
Gsk3a,0.029,-0.003,0.077,0.0,13,8,8,0.454
Cd24a,0.029,-0.144,0.081,0.0,13,7,8,1.673
Cacnb4,0.029,-0.138,0.179,0.0,13,7,8,1.505
Ctsd,0.029,0.009,0.128,0.0,13,11,8,-0.601
Emc7,0.029,-0.047,0.286,0.0,12,7,7,-0.407
Maged2,0.029,-0.047,0.062,0.0,13,9,8,-0.407
Zbtb43,0.029,-0.254,0.246,0.0,12,6,8,-0.636
Ankrd11,0.029,-0.051,0.107,0.0,13,9,8,-0.182
Mapt,0.029,-0.005,0.096,0.0,13,8,8,1.842
Brdt,0.029,-0.058,0.148,0.0,13,8,8,0.386
Tril,0.029,-0.106,0.299,0.004,11,6,6,0.113
Mecp2,0.029,-0.137,0.092,0.0,13,8,8,0.193
Kalrn,0.029,-0.141,0.107,0.0,13,8,8,1.177
Nudt3,0.029,-0.056,0.111,0.0,13,7,8,0.446
Prpf19,0.029,-0.061,0.077,0.0,13,8,8,-0.085
Arhgap39,0.029,-0.087,0.193,0.0,12,7,7,-0.854
Rnf208,0.029,-0.011,0.113,0.0,13,9,8,1.848
Rnf32,0.029,-0.049,0.187,0.0,12,8,7,1.522
Arhgdia,0.029,-0.002,0.12,0.0,13,9,8,0.491
Jkamp,0.029,-0.047,0.108,0.0,13,7,8,0.546
Olfml3,0.029,-0.177,0.162,0.0008,10,6,7,-4.566
Tmod1,0.029,-0.084,0.163,0.0,13,9,8,1.675
Lyst,0.029,-0.024,0.208,0.0,13,8,8,0.723
Zfp410,0.029,-0.123,0.173,0.0,13,8,8,-0.312
Lima1,0.029,-0.129,0.058,0.0,12,7,7,-3.585
Gdap1,0.029,0.014,0.089,0.0,13,11,8,2.129
Cyp20a1,0.029,-0.075,0.093,0.0,12,7,7,-0.68
Fam13c,0.029,-0.056,0.228,0.0001,12,7,7,0.866
Slc35a1,0.029,-0.117,0.063,0.0,13,7,8,-0.309
Rb1cc1,0.029,0.015,0.09,0.0,13,10,8,0.453
Fam149a,0.029,-0.108,0.335,0.0048,13,7,8,0.651
Bcdin3d,0.029,-0.241,0.112,0.0,13,7,8,0.322
Pcnp,0.029,-0.034,0.089,0.0,13,8,8,-0.16
Atxn3,0.029,-0.076,0.109,0.0,13,9,8,0.002
Zfp955b,0.029,-0.248,0.297,0.0001,10,6,6,-0.12
Dld,0.029,-0.015,0.134,0.0,13,8,8,0.016
Sesn1,0.029,-0.118,0.197,0.0,13,8,8,-1.046
Snx24,0.029,-0.015,0.21,0.0,13,8,8,-1.376
Elf2,0.029,-0.091,0.113,0.0,13,7,8,-1.026
Pitrm1,0.029,-0.159,0.188,0.0001,13,9,8,-0.778
Dusp10,0.029,-0.075,0.1,0.0,11,6,7,-0.751
Taf2,0.029,-0.101,0.133,0.0,13,7,8,0.022
Prr3,0.029,-0.078,0.071,0.0002,13,7,8,0.73
Gpr22,0.029,-0.07,0.136,0.0,13,8,8,2.274
Mvd,0.029,-0.068,0.085,0.0,13,7,8,0.726
Vwa5a,0.029,-0.121,0.151,0.0,13,7,8,-0.326
Tubb4b,0.029,-0.133,0.104,0.0,13,7,8,0.383
Ttc39a,0.028,-0.268,0.264,0.0,11,7,7,1.42
Hmbox1,0.028,-0.042,0.155,0.0,13,8,8,0.351
Rgs17,0.028,-0.008,0.256,0.0,13,8,8,2.458
Ring1,0.028,-0.035,0.109,0.0,13,8,8,-0.562
Mycn,0.028,-0.08,0.266,0.0,10,5,5,0.578
Alg13,0.028,-0.084,0.098,0.0,12,6,7,-0.576
Tomm40l,0.028,-0.052,0.116,0.0,13,7,8,0.471
Nrd1,0.028,-0.149,0.059,0.0,13,8,8,0.053
Arl13b,0.028,-0.158,0.112,0.0011,13,7,8,-0.96
Ncoa4,0.028,-0.078,0.107,0.0,12,7,8,-0.181
Lhfpl5,0.028,-0.077,0.091,0.0,13,7,8,2.231
Prnp,0.028,0.002,0.11,0.0,13,10,8,-0.999
Strn3,0.028,-0.081,0.087,0.0,13,9,8,-0.382
Jam3,0.028,-0.049,0.074,0.0,13,7,8,-2.58
Nom1,0.028,-0.076,0.074,0.0,13,7,8,-0.297
Rab4a,0.028,-0.054,0.083,0.0,13,7,8,1.143
Zfp263,0.028,-0.052,0.127,0.0,12,6,7,-0.504
Mapk11,0.028,-0.03,0.132,0.0,13,8,8,1.513
Ammecr1,0.028,-0.074,0.464,0.0147,11,7,6,-0.474
Slc25a17,0.028,-0.034,0.165,0.0,13,9,8,0.249
Cyfip1,0.028,-0.088,0.088,0.0,13,9,8,-2.397
Gpr45,0.028,-0.034,0.212,0.0,11,6,6,2.313
Map4k3,0.028,-0.108,0.121,0.0,13,7,8,-0.307
Serp2,0.028,-0.112,0.113,0.0,13,8,8,2.195
Rbm4,0.028,-0.063,0.084,0.0003,11,8,6,-0.053
Rbbp9,0.028,-0.097,0.159,0.0,13,7,8,-1.1
Mri1,0.028,-0.034,0.218,0.0008,13,8,8,-0.319
Fam160b2,0.028,-0.046,0.141,0.0,13,8,8,-0.044
Mtap,0.028,-0.123,0.086,0.0,12,7,7,-1.122
Qrich1,0.028,-0.052,0.073,0.0,13,8,8,-0.123
Arl8a,0.028,0.017,0.139,0.0,13,10,8,1.078
Akirin2,0.028,-0.05,0.05,0.0,13,8,8,0.604
Samd12,0.028,-0.064,0.082,0.0,12,7,8,1.616
Chd2,0.028,-0.104,0.135,0.0,13,8,8,-0.731
Mettl4,0.028,-0.065,0.146,0.0,10,6,6,-0.178
Prdx3,0.028,-0.091,0.131,0.0,13,7,8,0.511
Prmt5,0.028,-0.082,0.093,0.0,13,8,8,0.223
Adgrl1,0.028,-0.086,0.246,0.0,11,7,6,1.367
Wrap73,0.028,-0.066,0.099,0.0,11,6,6,-0.202
Cmas,0.028,0.002,0.185,0.0,13,11,8,1.32
Herpud2,0.028,-0.008,0.096,0.0,13,8,8,-1.151
Nsd1,0.028,-0.055,0.072,0.0,13,9,8,-0.118
Tmem126b,0.028,-0.106,0.071,0.0,13,8,8,0.421
Smg8,0.028,-0.207,0.161,0.0,11,6,6,0.341
Smg9,0.028,-0.133,0.187,0.0,12,6,7,-0.136
Azi2,0.028,-0.01,0.12,0.0,13,9,8,0.398
Lysmd3,0.028,-0.067,0.081,0.0,13,8,8,-0.794
Lman1,0.028,-0.071,0.16,0.0,13,8,8,-1.168
Rgs3,0.027,-0.088,0.065,0.0,11,7,6,1.132
Supt6,0.027,-0.072,0.107,0.0,12,7,7,0.232
Clu,0.027,-0.012,0.343,0.0061,13,9,8,0.588
Trappc12,0.027,-0.21,0.221,0.0,12,6,7,0.322
Tmem14c,0.027,-0.096,0.108,0.0,13,7,8,-0.21
Alkbh8,0.027,-0.101,0.103,0.0,13,8,8,0.377
Srgap1,0.027,-0.002,0.124,0.0,13,9,8,0.27
Trpm7,0.027,-0.075,0.114,0.0,13,7,8,-0.891
Upp2,0.027,-0.082,0.08,0.0,12,7,7,0.909
Smg5,0.027,-0.045,0.223,0.0,13,7,8,-0.189
Timm22,0.027,-0.044,0.085,0.0,13,8,8,0.336
Iscu,0.027,-0.04,0.155,0.0,13,7,8,0.202
Gpat4,0.027,-0.08,0.171,0.0,11,7,6,-0.061
Nup107,0.027,-0.293,0.169,0.0,12,7,7,0.059
Dars,0.027,-0.026,0.089,0.0,13,9,8,-0.738
0610009B22Rik,0.027,-0.093,0.109,0.0,13,7,8,0.374
Zbtb44,0.027,-0.077,0.176,0.0,12,7,7,-0.146
Slc44a5,0.027,-0.247,0.11,0.0,12,7,8,1.568
Ddx19b,0.027,-0.499,0.157,0.0,13,7,8,0.468
Uvssa,0.027,0.004,0.113,0.0,11,9,6,-0.828
Atad3a,0.027,-0.033,0.094,0.0,13,7,8,-0.028
Impa1,0.027,-0.015,0.138,0.0,13,9,8,0.207
Fam214b,0.027,-0.081,0.11,0.0,12,7,7,-0.023
Trim3,0.027,-0.111,0.077,0.0,13,7,8,0.927
Aup1,0.027,-0.108,0.123,0.0,13,7,8,-0.206
Xpo6,0.027,-0.017,0.221,0.0,13,8,8,0.013
Desi2,0.027,-0.13,0.076,0.0,12,7,7,-1.175
Epm2a,0.027,-0.229,0.143,0.0,10,5,5,0.698
Brd3,0.027,-0.102,0.096,0.0,13,7,8,-0.227
Azin1,0.027,0.01,0.104,0.0,13,10,8,0.029
Hmgxb4,0.027,-0.096,0.099,0.0,13,8,8,-0.485
Rbfox1,0.027,-0.055,0.154,0.0,13,7,8,2.268
Caprin1,0.027,-0.047,0.116,0.0,13,8,8,0.413
Plcb3,0.027,-0.069,0.288,0.0,13,7,8,-0.506
Fam172a,0.027,-0.079,0.123,0.0,13,8,8,-0.646
Gmps,0.027,-0.135,0.047,0.0,13,8,8,0.486
Cnot11,0.027,-0.026,0.121,0.0,12,7,7,0.087
Sertad2,0.027,-0.094,0.148,0.0,13,8,8,-1.202
Mtch2,0.027,-0.025,0.045,0.0,13,8,8,0.195
Rnf115,0.027,-0.018,0.136,0.0,13,8,8,0.566
Med23,0.027,-0.044,0.328,0.0011,13,7,8,-0.058
Usp19,0.027,-0.082,0.123,0.0,13,9,8,-0.136
Mff,0.027,-0.021,0.034,0.0,13,8,8,0.296
Cdk12,0.027,-0.139,0.138,0.0,12,8,7,-0.598
Mtmr7,0.027,-0.115,0.143,0.0,13,8,8,1.881
Pcdh10,0.026,-0.082,0.123,0.0001,13,8,8,-0.145
Srsf6,0.026,-0.058,0.073,0.0,13,8,8,-0.411
Kat2a,0.026,-0.03,0.095,0.0,13,7,8,0.513
Ythdf1,0.026,-0.053,0.096,0.0,13,7,8,0.199
Mcoln1,0.026,-0.113,0.112,0.0,13,7,8,0.275
Cdkal1,0.026,-0.2,0.191,0.0,13,8,8,-1.133
Lims1,0.026,-0.012,0.136,0.0,13,9,8,-0.365
Txnrd3,0.026,-0.09,0.075,0.0,11,6,7,-0.284
Nin,0.026,-0.254,0.202,0.0,12,6,7,-1.183
Pdzd8,0.026,-0.024,0.104,0.0,13,8,8,0.268
Dcaf12,0.026,-0.041,0.082,0.0,13,7,8,0.236
Cbr4,0.026,-0.079,0.144,0.0,12,7,7,-0.168
Lcmt1,0.026,-0.034,0.106,0.0,13,7,8,0.684
Zfp941,0.026,-0.022,0.212,0.0,13,8,8,1.924
Wwox,0.026,-0.046,0.273,0.0,13,7,8,-0.57
Cops7b,0.026,-0.04,0.224,0.0,13,9,8,0.532
Pcm1,0.026,-0.042,0.061,0.0,13,9,8,-0.286
Zfp652,0.026,-0.221,0.091,0.0,11,6,6,-0.827
Aftph,0.026,-0.035,0.144,0.0,13,7,8,0.089
Calm3,0.026,-0.009,0.094,0.0,13,8,8,0.226
Eno1,0.026,-0.068,0.092,0.0,12,7,7,0.723
Jade1,0.026,-0.201,0.116,0.0,11,7,6,-0.586
Slc48a1,0.026,-0.002,0.085,0.0,13,9,8,0.557
Kansl1,0.026,-0.262,0.117,0.0,12,8,7,-0.238
Cep83,0.026,-0.246,0.059,0.0,11,6,6,-0.449
Btbd1,0.026,-0.026,0.041,0.0,13,9,8,-0.207
Map2k1,0.026,-0.056,0.114,0.0,13,8,8,0.58
Chmp7,0.026,-0.023,0.095,0.0,13,7,8,0.457
Aldh9a1,0.026,-0.065,0.135,0.0,13,8,8,-0.58
Ttc9b,0.026,-0.033,0.136,0.0,13,7,8,2.105
Hectd3,0.026,-0.086,0.049,0.0,13,8,8,0.597
Arid1b,0.026,-0.072,0.132,0.0,13,7,8,0.127
Yes1,0.026,-0.205,0.059,0.0,13,8,8,-0.94
Slc37a4,0.026,-0.076,0.271,0.0,13,8,8,-0.122
Gclm,0.026,-0.004,0.14,0.0,13,9,8,0.446
Snapc4,0.026,-0.116,0.263,0.0109,12,7,8,0.103
Snx4,0.026,-0.032,0.078,0.0,13,9,8,-0.31
Ube2q1,0.026,-0.007,0.176,0.0,13,8,8,0.316
Mcat,0.026,-0.294,0.083,0.0,13,9,8,0.222
Clint1,0.026,0.003,0.127,0.0,13,10,8,0.169
Urod,0.026,-0.156,0.054,0.0,13,7,8,0.291
Tbc1d4,0.026,-0.191,0.504,0.063,12,7,8,-0.415
Tlk2,0.026,-0.03,0.106,0.0,13,7,8,0.017
Elac2,0.026,-0.091,0.236,0.0,12,7,7,0.278
Klf7,0.026,-0.017,0.088,0.0,13,7,8,0.977
Snx18,0.026,-0.063,0.093,0.0,13,8,8,-0.384
Mthfsd,0.026,-0.048,0.095,0.0,13,8,8,-0.091
Tubgcp2,0.026,-0.075,0.191,0.0,13,7,8,-0.216
Rbms3,0.026,-0.036,0.114,0.0,13,7,8,1.115
Lrrcc1,0.026,-0.114,0.109,0.0,13,8,8,-0.091
Gca,0.025,-0.015,0.117,0.0,11,8,7,-0.932
4933434E20Rik,0.025,-0.047,0.049,0.0,13,8,8,0.203
Cpq,0.025,-0.107,0.203,0.0001,12,7,7,-1.247
Cep70,0.025,-0.178,0.183,0.0,13,7,8,0.474
Uqcc1,0.025,-0.081,0.117,0.0,11,6,6,0.575
Anapc5,0.025,-0.007,0.066,0.0,13,9,8,0.23
Spire2,0.025,-0.031,0.116,0.0,13,7,8,0.286
Smad7,0.025,-0.251,0.106,0.0,12,6,7,-0.342
Mrs2,0.025,-0.356,0.072,0.0,12,7,8,0.816
Pgm1,0.025,-0.095,0.247,0.0,10,6,6,0.611
Snap25,0.025,-0.028,0.052,0.0,13,7,8,2.411
Il17d,0.025,-0.077,0.13,0.0,10,6,6,-0.646
Osbpl9,0.025,-0.083,0.099,0.0,13,8,8,0.0
Slc5a3,0.025,-0.049,0.129,0.0,13,7,8,0.541
Myef2,0.025,-0.054,0.06,0.0,13,8,8,0.402
Fbxo7,0.025,-0.066,0.185,0.0,13,7,8,-3.031
Exoc6,0.025,-0.001,0.169,0.0,13,9,8,0.201
Arfip2,0.025,-0.104,0.048,0.0,13,7,8,0.213
Syncrip,0.025,-0.122,0.121,0.0,13,7,8,-0.59
Zfp160,0.025,-0.28,0.081,0.0,13,7,8,-0.501
Ttll1,0.025,-0.003,0.102,0.0,13,9,8,1.214
Ccdc136,0.025,-0.005,0.061,0.0,13,9,8,1.565
Plxnd1,0.025,-0.131,0.336,0.0017,11,6,6,-1.364
Cwc25,0.025,-0.127,0.121,0.0,13,7,8,-0.431
Fntb,0.025,-0.081,0.163,0.0,13,8,8,0.034
Agpat5,0.025,-0.014,0.074,0.0,13,8,8,0.102
Gale,0.025,-0.132,0.25,0.0,13,7,8,0.838
Sept4,0.025,-0.181,0.074,0.0,11,6,6,-1.416
G3bp2,0.025,-0.008,0.065,0.0,13,9,8,0.786
Wdr41,0.025,-0.103,0.151,0.0,13,7,8,0.66
Lrrc47,0.025,-0.385,0.099,0.0,13,7,8,0.346
Clcn4,0.025,-0.011,0.201,0.0,11,7,6,0.294
Ash1l,0.025,-0.051,0.139,0.0,13,8,8,-0.568
Purb,0.025,-0.028,0.076,0.0,13,8,8,-0.332
Gna13,0.025,-0.05,0.198,0.0,13,7,8,0.169
BC024978,0.025,-0.227,0.201,0.0012,10,6,6,-0.233
Zfp746,0.025,-0.311,0.115,0.0,13,8,8,-0.397
Klhl32,0.025,-0.423,0.297,0.0,13,7,8,1.404
Cdc7,0.025,-0.101,0.219,0.0016,12,7,7,-0.655
Tubgcp4,0.025,-0.122,0.145,0.0,12,7,7,-0.252
Tubgcp3,0.025,-0.212,0.163,0.0,13,8,8,-0.148
Phf6,0.025,-0.019,0.151,0.0,13,9,8,0.065
Rad23b,0.025,-0.046,0.097,0.0,13,8,8,0.216
Pusl1,0.025,-0.127,0.123,0.0,13,7,8,0.295
Vamp7,0.025,-0.039,0.067,0.0,11,6,6,0.642
2210016L21Rik,0.025,-0.05,0.114,0.0,13,8,8,1.085
Tram1,0.025,-0.052,0.06,0.0,13,8,8,-1.422
Slc31a2,0.024,-0.044,0.222,0.0,13,7,8,-1.659
Sobp,0.024,-0.046,0.154,0.0,13,7,8,1.273
Mob2,0.024,-0.03,0.093,0.0,13,9,8,-0.319
Cdc73,0.024,-0.048,0.103,0.0,13,8,8,-0.293
Cep164,0.024,-0.071,0.104,0.0,13,7,8,0.19
Wapl,0.024,-0.091,0.134,0.0,11,7,6,-0.822
Asnsd1,0.024,-0.036,0.116,0.0,13,7,8,0.241
Elavl3,0.024,-0.042,0.04,0.0,13,8,8,2.05
Sft2d3,0.024,-0.018,0.083,0.0,13,9,8,-0.498
Parg,0.024,-0.107,0.114,0.0,13,8,8,0.267
Rab3gap1,0.024,-0.053,0.167,0.0,13,7,8,0.163
Xpnpep3,0.024,-0.127,0.168,0.0,11,6,7,-0.175
Col4a3bp,0.024,-0.186,0.109,0.0,12,7,7,0.39
Sass6,0.024,-0.482,0.375,0.0257,12,7,7,0.007
Smim20,0.024,-0.081,0.049,0.0,11,7,6,0.39
Bcs1l,0.024,-0.026,0.259,0.0,13,9,8,0.176
Paf1,0.024,-0.013,0.112,0.0,13,8,8,-0.398
Fbxo22,0.024,-0.06,0.163,0.0,13,8,8,0.272
Bbs9,0.024,-0.102,0.179,0.0,13,8,8,0.416
Mccc1,0.024,-0.212,0.149,0.0,13,8,8,-0.214
Trp53inp1,0.024,-0.305,0.132,0.0,12,7,7,-1.312
Mtf2,0.024,-0.091,0.09,0.0,13,8,8,-0.009
Camk4,0.024,-0.096,0.071,0.0,13,8,8,1.895
Ccndbp1,0.024,-0.058,0.113,0.0,13,7,8,0.443
Nrp2,0.024,-0.324,0.144,0.0,12,7,7,-0.36
Mkrn2,0.024,-0.043,0.061,0.0,13,7,8,0.313
Vps25,0.024,-0.384,0.364,0.0,11,6,7,0.175
Ubxn2a,0.024,-0.054,0.099,0.0,13,7,8,0.587
Actr1b,0.024,-0.183,0.092,0.0,13,7,8,0.786
Scyl2,0.024,-0.096,0.141,0.0,13,7,8,0.489
Polk,0.024,-0.072,0.295,0.0,13,9,8,-0.164
Btaf1,0.024,-0.17,0.233,0.0,12,6,8,-0.576
Srsf1,0.024,-0.013,0.096,0.0,13,9,8,-0.29
