,GSE102443 geniculate (VII),GSE135801 geniculate (VII),GSE309608 vestibular (VIII),GSE232789 stellate,GSE232789 coeliac,GSE232789 lumbar chain,GSE231766 superior cervical,GSE231924 stellate,GSE232789 sphenopalatine,GSE330884 intrinsic cardiac,GSE232789 pelvic,"GSE263422 enteric submucosal, P24","GSE263422 enteric submucosal, P7"
Mrps16,0.172,-0.292,-0.193,-0.044,0.165,-0.098,-0.269,-0.248,-0.047,-0.082,-0.024,-0.18,-0.048
Mrps17,-0.084,-0.193,-0.154,-0.023,-0.0,0.021,0.069,0.015,0.028,-0.097,-0.027,-0.136,0.008
Mrps18a,-0.002,0.25,-0.128,-0.05,0.509,0.006,0.025,0.06,-0.069,-0.11,-0.129,-0.306,-0.139
Mrps18b,-0.1,,-0.168,0.025,0.421,0.133,-0.054,0.361,-0.063,-0.044,-0.113,-0.228,-0.103
Mrps18c,0.005,-0.388,-0.17,-0.029,0.112,-0.036,-0.056,0.003,-0.049,-0.087,-0.116,-0.283,0.06
Mrps2,-0.217,0.384,0.076,0.012,0.386,-0.064,-0.077,,-0.122,-0.002,0.291,0.163,-0.978
Mrps21,0.105,-0.448,-0.066,0.015,0.146,-0.015,0.039,-0.07,0.03,-0.138,-0.001,-0.255,0.048
Mrps22,-0.103,0.798,-0.11,-0.14,0.046,-0.184,0.201,-0.367,0.108,0.044,0.014,-0.316,-0.094
Mrps23,-0.005,0.169,-0.109,-0.052,0.062,-0.158,-0.004,0.208,-0.049,-0.049,-0.042,-0.022,0.138
Mrps24,0.122,-0.295,-0.162,0.009,0.174,-0.039,0.025,0.076,0.028,-0.124,-0.042,-0.295,0.035
Mrps25,-0.135,0.038,-0.163,-0.023,-0.108,-0.108,-0.038,0.06,-0.048,-0.115,-0.096,-0.072,0.188
Mrps26,-0.035,0.233,-0.135,-0.069,0.168,0.072,0.047,0.038,0.026,-0.074,-0.036,-0.227,-0.054
Mrps27,0.146,1.128,0.144,0.058,0.243,-0.147,0.259,0.874,-0.043,0.048,0.029,-0.074,-0.168
Mrps28,-0.186,0.523,-0.177,-0.111,0.292,-0.187,-0.34,-0.592,0.035,-0.122,-0.274,-0.185,-0.1
Mrps30,0.107,-0.667,-0.107,-0.153,-0.367,-0.063,0.237,-0.265,-0.08,0.001,-0.189,-0.055,0.087
Mrps31,0.153,-0.318,-0.18,-0.022,0.175,-0.214,0.443,-0.277,-0.17,-0.053,-0.062,-0.222,0.076
Mrps33,-0.033,-1.013,-0.17,-0.07,-0.092,-0.112,0.163,-0.162,-0.025,-0.115,-0.037,-0.234,-0.036
Mrps34,0.091,-0.09,-0.174,-0.049,0.383,-0.065,-0.168,0.211,-0.041,-0.076,-0.053,-0.38,-0.045
Mrps35,-0.004,-0.535,-0.094,0.004,-0.084,-0.017,-0.715,-0.754,-0.013,-0.085,0.002,-0.115,0.001
Mrps36,0.144,-0.313,-0.12,-0.042,0.172,-0.124,-0.134,0.006,0.022,-0.158,-0.093,-0.351,0.04
Mrps5,0.164,0.323,-0.003,-0.048,-0.058,-0.163,-0.14,0.192,0.016,-0.102,-0.009,-0.205,0.095
Mrps6,0.061,0.114,-0.186,0.008,-0.374,-0.074,0.124,0.015,-0.024,-0.17,-0.071,-0.204,0.016
Mrps7,0.023,0.444,-0.114,-0.153,0.458,-0.075,-0.139,0.105,-0.059,-0.05,-0.031,-0.221,-0.146
Mrps9,-0.02,0.394,0.065,-0.06,-0.008,-0.22,0.248,-0.081,-0.01,-0.02,0.014,-0.127,-0.021
Mrrf,0.196,-0.424,-0.124,0.095,0.714,0.06,-0.275,0.465,0.003,-0.089,-0.224,-0.051,0.36
Mrs2,-0.25,-1.586,0.214,0.065,-0.583,0.018,0.443,0.05,0.032,0.08,-0.184,-0.356,
Mrto4,0.085,-0.043,-0.203,-0.119,0.054,-0.165,-0.083,0.343,-0.068,-0.086,-0.151,-0.142,0.073
Msh2,0.346,-0.302,-0.054,-0.012,-0.611,-0.152,0.12,0.345,-0.143,0.066,-0.043,-0.043,0.128
Msh3,0.33,-0.905,0.059,0.018,-0.262,-0.259,0.234,0.074,0.182,0.106,0.168,-0.041,-0.395
Msh6,0.256,-0.158,0.031,0.253,-0.886,-0.001,-0.771,,-0.105,0.077,-0.14,0.058,-0.194
Msi2,-0.079,0.546,0.095,0.061,-0.332,0.009,0.222,0.054,0.101,0.042,0.191,0.13,-0.056
Msl1,-0.214,0.086,0.1,0.046,0.045,-0.023,0.055,0.136,-0.046,0.119,0.089,0.178,0.11
Msl2,-0.263,0.479,0.158,0.108,-0.584,-0.373,-0.592,-0.12,-0.027,0.167,0.136,0.144,-1.008
Msl3,-0.221,-0.795,-0.076,0.02,0.121,0.128,0.29,-0.986,0.093,-0.069,-0.006,-0.214,0.13
Msl3l2,-0.478,1.028,-0.153,-0.145,0.154,0.275,0.514,,-0.037,-0.055,-0.084,0.056,0.216
Msn,-0.091,-0.06,-0.458,0.014,-0.077,0.101,0.066,0.17,0.078,0.169,0.184,0.023,-0.164
Msra,0.069,-0.283,0.039,-0.036,0.517,0.06,-0.098,-0.799,0.059,-0.088,-0.226,0.035,-0.381
Msrb2,-0.035,0.089,-0.087,-0.099,0.678,0.185,0.198,0.167,0.081,-0.07,0.222,,0.243
Msto1,0.199,,-0.005,0.06,0.702,-0.459,-0.308,-2.124,-0.169,0.075,-0.214,0.189,-0.053
Mt1,-0.222,-1.156,-0.17,0.032,-2.135,-1.769,-0.567,-0.543,-0.197,-0.198,-0.525,0.182,-0.06
Mt2,0.25,-0.815,-0.159,-0.177,-3.029,-2.126,-0.63,-0.435,-0.255,-0.133,-0.697,0.274,
Mt3,0.087,0.25,-0.107,-0.02,0.912,0.268,-0.184,0.044,0.11,-0.11,0.269,-0.4,-0.08
Mta1,0.098,0.479,-0.027,-0.049,-0.545,-0.006,0.087,-0.348,0.05,0.102,0.135,0.388,-0.323
Mta2,0.031,-0.526,0.074,-0.103,-0.222,-0.118,-0.349,-0.627,0.003,0.094,-0.091,0.222,0.072
Mta3,0.46,0.059,-0.039,0.005,-0.075,0.192,0.227,0.2,-0.32,0.08,0.011,-0.151,0.154
Mtap,0.018,-0.123,0.04,0.103,-0.418,0.099,0.038,,0.086,-0.06,0.072,-0.08,-0.59
Mtch1,0.02,0.094,-0.043,-0.008,0.41,0.149,0.015,-0.029,0.026,0.007,-0.027,-0.164,-0.129
Mtch2,0.022,-0.064,0.053,-0.0,0.199,0.027,0.13,-0.043,-0.062,0.045,-0.025,0.035,0.041
Mtdh,-0.049,-0.018,0.027,-0.098,-0.153,-0.098,0.228,-0.13,0.015,0.085,-0.011,-0.208,0.0
Mtf1,-0.093,-0.612,-0.01,-0.076,-0.017,-0.22,0.386,0.037,-0.028,0.024,0.088,-0.042,-0.267
Mtf2,0.078,-0.255,0.148,-0.008,-0.667,-0.091,0.221,0.252,-0.116,0.024,0.09,0.015,0.06
Mtfmt,-0.158,0.237,0.058,-0.088,-0.281,0.18,-0.809,,0.038,-0.065,0.48,-0.083,0.181
Mtfp1,0.154,0.252,-0.048,-0.09,0.272,-0.623,0.17,,0.206,-0.063,-0.12,0.133,-0.125
Mtfr1,-0.24,-0.003,0.022,-0.056,-0.483,-0.562,0.188,,0.007,-0.064,-0.093,0.502,0.245
Mtg1,0.116,0.806,-0.191,-0.182,0.172,0.512,0.231,-0.094,-0.047,-0.021,-0.229,-0.275,-0.023
Mthfd1,0.413,-0.128,0.135,0.003,0.208,0.062,-1.058,0.313,-0.023,0.089,-0.326,0.016,-0.114
Mthfd1l,-0.242,-1.238,0.178,-0.103,-0.222,0.492,0.093,0.491,0.04,0.271,0.099,-0.059,-0.196
Mthfd2,-0.224,0.346,-0.075,-0.084,-0.129,0.02,0.015,0.167,-0.116,0.003,-0.107,0.096,0.207
Mthfd2l,-0.034,2.072,-0.121,-0.061,0.009,0.143,0.187,-1.034,-0.039,-0.026,0.012,0.001,-0.063
Mthfs,-0.192,-0.656,-0.043,0.155,0.45,-0.139,-0.116,0.37,-0.099,-0.097,0.027,-0.262,-0.111
Mthfsd,-0.031,0.035,0.105,0.005,-0.049,0.026,0.151,-0.275,0.042,0.095,0.133,-0.143,-0.048
Mtif2,-0.083,-0.165,-0.018,0.015,-0.475,0.019,0.712,0.235,-0.221,-0.037,0.072,-0.117,0.527
Mtif3,-0.03,-1.109,-0.094,-0.392,-0.834,-0.137,0.075,,-0.091,0.056,-0.206,-0.072,-0.808
Mtm1,-0.172,-0.372,0.136,0.195,0.169,0.14,-0.532,0.321,0.131,0.068,0.196,-0.015,0.066
Mtmr1,0.192,0.795,0.035,0.017,0.195,-0.252,0.56,-0.926,-0.085,0.279,0.061,-0.035,0.447
Mtmr11,-0.093,-1.101,0.129,0.081,0.772,0.569,-0.32,-0.162,-0.005,0.193,0.335,-0.062,
Mtmr12,0.177,-0.412,0.201,0.154,-0.475,0.524,0.194,-0.135,0.02,0.205,-0.004,-0.031,
Mtmr14,-0.023,1.173,0.207,-0.23,-0.134,-0.228,-0.877,0.243,-0.082,-0.064,-0.096,-0.095,0.194
Mtmr2,0.144,0.473,0.116,-0.093,0.212,0.219,-0.136,-1.024,0.005,0.128,0.157,0.213,-0.118
Mtmr3,-0.031,-0.15,0.175,0.177,-0.239,0.124,0.426,-0.468,0.062,0.137,-0.044,0.289,-0.064
Mtmr4,0.223,0.084,0.153,0.081,0.5,-0.078,0.592,-0.061,0.112,0.163,0.134,0.164,-0.36
Mtmr6,0.077,0.047,0.186,0.019,0.439,0.273,0.511,-0.278,0.019,0.06,0.097,0.124,-0.085
Mtmr7,-0.121,-0.481,0.143,0.027,0.513,-0.014,0.316,-0.118,0.025,0.079,0.035,-0.115,0.331
Mtmr9,-0.272,-1.503,0.291,0.271,0.228,0.145,0.153,0.13,0.067,0.216,0.171,-0.022,0.383
Mto1,-0.232,0.28,0.017,-0.102,0.152,0.306,-0.413,-0.853,0.088,0.095,0.024,0.037,0.058
Mtor,-0.112,0.195,0.126,0.187,0.269,0.107,0.507,0.568,-0.019,0.093,0.179,0.177,0.279
Mtpap,-0.019,-0.759,0.072,-0.02,-0.352,-0.224,-0.247,-0.214,0.113,-0.025,-0.013,-0.11,0.007
Mtpn,0.05,0.472,-0.053,0.053,-0.068,0.058,0.357,-0.076,0.108,-0.032,0.096,0.156,-0.085
Mtr,-0.756,-1.689,0.1,0.228,-0.156,-0.627,-0.393,0.389,0.127,0.224,-0.005,0.16,
Mtrf1,0.037,1.103,0.107,0.05,-0.043,0.144,0.32,,0.056,-0.204,0.007,,-0.138
Mtrf1l,0.336,-0.758,-0.121,-0.32,0.237,-0.279,0.377,,-0.182,0.059,-0.1,-0.172,-0.677
Mtrr,-0.166,0.057,0.091,-0.129,0.617,-0.158,0.191,,0.363,0.02,-0.261,0.091,-0.019
Mtss1,-0.034,0.493,0.082,-0.036,-0.373,0.214,0.216,0.15,-0.064,0.079,0.058,-0.058,-0.036
Mtus1,-0.371,0.13,0.11,0.044,0.123,-0.082,0.364,0.211,-0.042,0.156,0.099,0.133,-0.156
Mtus2,-0.225,0.604,0.005,0.067,-0.776,-0.045,0.323,0.197,-0.152,-0.02,-0.197,-0.314,-0.528
Mtx1,-0.138,-0.784,-0.027,-0.079,0.235,0.016,-0.004,0.038,-0.012,-0.042,-0.249,-0.167,0.081
Mtx2,-0.018,0.036,-0.102,-0.003,0.191,0.012,0.276,0.003,-0.107,-0.083,-0.158,-0.179,-0.008
Mtx3,0.268,-0.14,0.276,-0.103,-0.438,-0.336,0.478,-0.175,0.064,0.122,0.081,0.324,-0.388
Mul1,0.163,-0.23,0.192,0.042,0.246,-0.029,-0.158,0.257,0.028,0.158,0.122,-0.046,0.239
Mus81,-0.271,-0.357,0.069,0.026,-0.185,-0.353,0.195,0.202,-0.058,-0.085,-0.0,-0.052,-0.083
Mvd,0.119,-0.264,-0.014,0.051,0.085,0.168,-0.241,-0.068,0.073,0.136,-0.004,-0.164,0.029
Mvk,0.081,0.209,-0.095,-0.02,0.338,0.08,-0.029,-0.12,0.145,0.062,0.107,0.099,-0.009
Mvp,-0.428,-0.298,-0.116,-0.141,0.051,0.09,-0.075,-0.014,0.143,0.215,-0.218,-0.406,-0.267
Mxd4,-0.197,-0.535,-0.21,-0.285,-0.973,-0.385,0.28,-0.061,0.032,0.003,0.009,0.096,-0.135
Mxi1,0.054,-0.297,-0.169,-0.011,-0.279,-0.145,-0.296,0.303,0.017,-0.107,0.104,0.104,0.075
Mxra7,-0.027,-0.005,-0.101,-0.071,-0.097,-0.089,-0.051,-0.34,0.084,-0.029,-0.205,0.308,0.09
Myadm,-0.066,-0.22,0.087,0.103,0.708,0.06,0.623,0.287,-0.001,0.242,0.051,0.263,-0.031
Mybbp1a,-0.467,-0.166,-0.002,-0.151,-0.366,-0.21,-0.139,0.25,0.023,0.165,0.11,0.154,-0.163
Myc,-0.419,0.997,-0.052,-0.14,0.058,-0.1,0.028,,0.014,0.045,-0.152,0.351,0.13
Mycbp,0.032,0.267,-0.041,0.051,0.464,-0.004,0.4,-0.772,0.007,-0.035,0.04,-0.365,0.054
Mycbp2,0.022,0.272,0.14,0.04,0.043,0.095,0.606,0.081,0.023,0.133,0.041,-0.051,-0.103
Myd88,0.033,-1.086,-0.074,-0.219,0.402,0.432,-0.476,-0.897,-0.407,0.046,-0.028,-0.044,
Myef2,0.06,0.206,-0.085,0.027,-0.514,0.025,0.238,0.137,0.053,-0.049,-0.054,0.007,-0.147
Myg1,0.222,-0.108,-0.09,0.05,0.118,-0.081,-0.139,0.186,-0.2,0.02,-0.176,0.143,-0.074
Myh10,-0.027,-0.122,0.244,-0.01,-0.245,0.191,0.403,-0.061,0.05,0.247,0.156,0.345,-0.208
Myh14,-0.139,0.552,0.189,0.183,1.47,0.208,0.201,-0.093,0.109,0.351,0.101,-0.01,-0.58
Myh9,-0.349,0.34,0.008,-0.083,0.166,0.092,-0.118,0.183,0.006,0.246,0.066,-0.122,-1.049
Myl12a,0.032,-0.047,-0.256,-0.164,-0.168,-0.003,-0.579,-0.237,-0.148,-0.097,-0.168,-0.152,-0.157
Myl12b,-0.024,0.086,-0.126,-0.063,0.297,0.046,-0.286,0.069,-0.018,-0.073,-0.094,-0.139,-0.041
Myl4,-0.484,,-0.1,0.156,0.516,0.075,-0.702,,-0.156,-0.265,0.28,-0.154,-0.777
Myl6,0.029,-0.225,-0.163,-0.048,0.343,-0.024,-0.231,0.008,-0.07,-0.039,-0.025,-0.177,-0.011
Myl9,-0.357,-0.827,-0.291,-0.124,0.005,0.615,-0.762,-2.797,-0.147,,0.187,,-0.114
Mynn,-0.214,-1.356,0.074,0.201,0.065,-0.263,-0.118,0.337,-0.091,0.094,0.21,0.059,0.109
Myo18a,0.041,0.359,0.195,0.111,0.42,0.248,0.207,0.161,0.071,0.183,0.173,-0.015,-0.241
Myo1b,-0.561,-0.669,0.297,-0.027,0.51,0.157,-0.162,0.135,0.32,0.273,0.274,-0.438,-0.372
Myo1d,-0.063,0.651,0.073,,0.05,-0.275,0.35,0.328,0.083,0.194,0.264,0.068,
Myo5a,0.08,-0.006,0.202,-0.029,-0.012,0.313,0.599,-0.009,0.103,0.231,0.046,0.217,-0.032
Myo6,0.036,0.469,0.171,-0.262,-0.827,-0.304,-0.027,0.382,0.299,0.026,0.143,-0.144,0.048
Myo9a,-0.079,0.017,0.105,0.072,-0.003,0.244,0.858,0.067,0.095,0.146,0.121,0.052,0.063
Mypop,-0.0,-0.009,0.008,0.149,0.548,0.19,-0.06,-0.251,0.041,-0.019,0.045,0.213,0.04
Mysm1,0.059,0.296,0.009,-0.07,-0.461,-0.086,-0.26,-0.086,0.07,0.067,0.057,0.024,0.014
Myt1,-0.297,0.553,0.053,0.011,-1.06,0.173,0.824,-0.191,-0.114,0.071,0.06,-0.101,-0.427
Myt1l,-0.155,-0.028,0.011,0.064,-0.077,0.031,0.416,0.159,0.044,0.066,0.142,0.295,0.186
Mzt1,-0.208,0.007,0.038,-0.192,-0.942,0.005,-0.088,-0.758,-0.084,-0.085,-0.01,-0.002,0.092
Mzt2,0.204,0.128,-0.152,0.005,0.032,0.08,-0.07,-0.152,-0.029,-0.022,-0.131,0.106,0.302
N4bp1,-0.103,0.43,-0.021,0.037,0.163,-0.04,0.281,-0.125,0.137,0.089,0.182,0.04,0.359
N4bp2l1,-0.14,-0.437,0.019,-0.386,-0.76,-1.244,-0.683,-0.439,0.025,-0.06,0.073,0.287,0.234
N4bp2l2,-0.032,-0.087,0.062,-0.072,-0.489,-0.141,0.055,-0.256,0.128,0.071,0.014,0.004,-0.119
N6amt1,0.079,0.263,-0.165,-0.007,0.144,0.001,0.642,-0.281,-0.055,-0.059,0.065,-0.208,-0.049
Naa10,0.116,-0.192,-0.135,-0.077,-0.1,-0.053,-0.157,-0.029,-0.056,-0.004,-0.077,-0.083,0.059
Naa15,-0.035,0.365,0.167,0.077,0.093,-0.078,0.395,0.045,0.147,0.151,-0.057,0.014,-0.089
Naa16,-0.738,-1.201,0.192,0.161,-0.778,-0.385,0.564,-0.285,-0.031,-0.024,0.039,-0.017,0.168
Naa20,0.106,0.326,-0.088,0.016,0.509,-0.061,-0.055,0.104,-0.084,-0.041,-0.053,-0.115,-0.008
Naa25,-0.162,-0.063,0.176,0.289,0.447,-0.214,0.283,-0.03,0.057,0.229,-0.051,0.15,0.249
Naa30,-0.03,0.598,0.17,0.042,-0.15,-0.24,0.021,-0.313,0.145,0.134,0.17,0.332,-0.324
Naa35,-0.247,0.187,0.003,0.07,0.093,-0.022,0.625,0.284,0.056,0.1,-0.027,-0.046,0.1
Naa38,-0.185,0.883,-0.099,-0.026,0.313,-0.105,-0.138,0.012,-0.013,-0.139,0.08,-0.341,0.037
Naa40,-0.466,0.494,0.293,0.207,-0.164,-0.247,0.032,-0.725,-0.006,0.096,-0.058,-0.096,-0.128
Naa50,-0.186,-0.606,-0.101,-0.036,-0.159,0.082,0.085,-0.055,0.056,-0.116,-0.006,-0.052,-0.064
Naaa,0.08,0.233,0.197,0.082,0.595,0.236,-0.263,-0.429,-0.084,0.2,0.123,0.084,-0.52
Nab1,-0.426,0.114,0.019,-0.171,0.064,0.045,0.007,-0.016,0.048,0.072,-0.052,-0.062,-0.087
Naca,-0.01,-0.092,-0.206,-0.044,-0.205,-0.058,-0.232,-0.055,-0.066,-0.112,-0.075,-0.302,-0.025
Nacad,-0.14,0.093,0.07,-0.012,0.554,0.155,0.167,-0.096,0.005,0.2,0.119,-0.093,-0.085
Nacc1,-0.082,0.13,0.128,0.035,-0.032,-0.094,0.167,-0.466,0.127,0.113,0.151,0.117,0.287
Nacc2,0.101,0.19,0.362,-0.27,1.321,-1.136,0.325,-0.401,-0.116,0.06,-0.122,0.525,-1.211
Nadk,-0.076,-0.157,0.239,0.054,0.049,-0.041,0.101,0.156,0.073,0.115,0.096,0.146,-0.143
Nae1,-0.063,-0.037,0.004,-0.041,0.075,0.05,0.249,-0.019,0.04,0.023,-0.119,-0.107,-0.027
Naga,-0.037,-0.219,0.137,0.224,0.282,0.298,0.099,-0.584,-0.035,0.137,-0.048,0.161,-0.243
Nagk,-0.207,-0.197,-0.111,-0.084,0.217,0.04,0.124,0.111,0.03,-0.084,0.041,-0.208,-0.021
Naglu,0.71,0.643,0.077,-0.057,0.04,-0.504,0.001,,0.111,0.23,0.387,-0.005,0.385
Nalcn,0.027,-0.623,0.075,0.088,0.161,0.092,0.569,-0.044,0.071,0.253,0.245,0.075,0.044
Nampt,0.171,0.287,-0.003,0.01,-0.17,0.137,-0.158,0.281,0.084,0.106,-0.037,0.068,-0.182
Nanos1,-0.824,1.435,-0.071,0.037,0.365,-0.318,-0.764,,0.093,0.066,0.153,0.527,-0.098
Nans,0.12,-0.432,-0.025,-0.081,0.507,0.112,-0.434,0.355,-0.079,0.011,-0.275,-0.186,-0.19
Nap1l1,-0.102,0.471,-0.157,-0.023,-0.178,0.054,0.042,-0.099,-0.028,-0.034,-0.027,0.059,0.039
Nap1l2,-0.027,-0.352,0.0,0.17,0.542,-0.397,0.402,-0.294,0.094,-0.003,0.101,-0.02,-0.085
Nap1l3,-0.098,0.125,-0.101,-0.056,0.562,0.051,0.686,0.122,0.17,0.049,0.09,-0.097,0.286
Nap1l4,0.094,0.158,-0.103,-0.028,-0.129,-0.097,0.092,-0.145,-0.07,-0.015,0.056,0.168,0.025
Nap1l5,0.015,-0.101,-0.227,-0.038,-0.091,-0.118,0.366,0.295,0.006,-0.093,-0.151,-0.064,0.27
Napa,0.006,0.057,-0.079,-0.027,0.114,-0.03,-0.093,0.046,-0.002,0.001,-0.08,0.089,-0.088
Napb,-0.136,-0.032,0.088,0.021,0.35,0.048,0.351,0.003,0.089,0.123,0.232,0.213,0.139
Napepld,0.155,0.122,-0.082,0.501,1.807,1.279,-0.656,-0.114,-0.086,0.058,0.106,-0.085,
Napg,-0.029,-0.064,-0.03,-0.02,0.376,0.007,0.441,0.018,-0.022,0.014,0.116,0.038,0.194
Narf,-0.081,-0.752,0.018,-0.021,0.133,0.093,0.398,0.339,0.005,0.039,0.049,0.009,0.315
Nars,-0.093,-0.034,0.082,0.012,0.05,0.035,-0.044,-0.035,0.034,-0.059,0.088,-0.158,0.047
Nars2,-0.202,0.189,0.178,-0.054,0.017,-0.278,0.044,,-0.086,0.146,0.453,0.118,-1.755
Nasp,-0.627,-0.206,-0.009,-0.168,-1.272,-0.509,-0.327,-0.482,-0.208,0.008,-0.126,0.103,0.142
Nat10,-0.387,0.429,0.371,0.016,-0.876,-0.193,0.424,0.458,0.14,0.205,0.079,0.129,-0.675
Nat14,-0.386,1.442,-0.109,-0.111,0.26,0.352,0.014,-0.061,0.037,-0.024,0.139,0.053,0.24
Nat8l,0.031,0.49,0.63,0.142,1.029,0.24,0.003,-0.072,-0.117,0.305,0.079,0.358,-0.239
Nat9,-0.116,0.993,-0.1,-0.06,0.907,0.099,-0.421,0.387,-0.075,-0.04,-0.009,0.024,-0.233
Nav1,0.004,0.342,0.087,0.085,0.062,0.165,0.667,-0.052,0.042,0.166,0.152,0.035,-0.013
Nbas,-0.075,0.949,0.159,0.104,0.39,0.046,0.793,-0.131,0.079,0.316,0.051,0.136,-0.051
Nbea,0.173,0.619,0.099,0.106,0.131,0.011,0.69,-0.095,0.01,0.269,-0.001,-0.266,0.033
Nbeal1,0.037,-0.262,0.08,0.059,-0.08,0.133,0.703,0.216,0.046,0.174,0.023,-0.046,-0.142
Nbl1,0.331,-0.156,-0.356,-0.068,0.56,0.057,-0.021,-0.021,-0.018,0.021,0.028,0.124,-0.214
Nbn,-0.114,0.56,-0.03,-0.121,-0.051,-0.191,0.487,1.506,-0.059,0.065,-0.075,0.245,
Nbr1,0.001,-0.084,0.134,0.112,-0.439,0.185,0.304,-0.287,-0.105,0.107,0.03,0.151,-0.095
Ncald,-0.05,0.139,-0.209,0.12,0.539,0.02,0.529,-0.079,-0.017,0.016,0.109,0.19,0.059
Ncam1,0.029,0.42,0.069,0.046,-0.16,-0.026,0.619,0.124,0.03,0.213,0.059,-0.024,-0.125
Ncam2,0.3,0.007,0.172,0.063,0.259,0.205,0.631,0.139,0.018,0.048,-0.121,-0.157,-0.141
Ncapd3,-0.334,0.887,0.047,-0.022,-0.72,-0.415,-1.273,0.123,0.029,0.109,0.087,-0.043,-1.247
Ncaph2,-0.066,0.343,0.124,-0.06,-0.284,0.195,0.025,0.379,-0.038,0.151,0.137,0.13,0.071
Ncbp1,-0.037,-0.509,0.204,0.025,-0.112,-0.011,-0.002,0.351,-0.1,0.072,-0.056,-0.026,-0.037
Ncbp2,0.045,-0.28,-0.14,0.004,-0.121,-0.032,-0.059,-0.107,0.007,-0.104,-0.1,-0.073,0.141
Ncdn,0.184,-0.284,0.134,0.086,0.301,-0.047,-0.015,-0.102,0.1,0.199,0.141,0.06,0.055
Nceh1,0.174,0.339,0.195,0.131,0.782,0.133,0.488,-0.153,0.057,0.291,0.404,-0.034,-0.863
Nck1,0.039,-0.425,-0.104,0.036,-0.156,-0.146,-0.151,-0.311,-0.004,-0.084,-0.087,0.007,0.025
Nckap1,-0.118,0.771,0.192,-0.023,0.189,0.094,0.186,-0.067,0.061,0.119,0.192,0.109,0.083
Nckipsd,-0.034,0.179,-0.009,-0.003,-0.14,0.38,0.275,0.231,0.168,-0.016,0.435,0.167,0.539
Ncl,0.004,0.004,-0.225,-0.063,-0.319,-0.057,-0.025,-0.316,-0.051,-0.008,-0.072,-0.102,-0.018
Ncln,0.127,-0.001,0.372,0.013,0.874,-0.133,-0.103,-0.192,-0.086,0.363,-0.032,0.105,-0.23
Ncoa1,0.187,0.528,0.085,-0.052,-0.295,-0.437,0.617,-0.058,-0.015,0.107,0.103,0.051,-0.544
Ncoa2,-0.136,0.131,0.086,0.055,0.189,0.275,0.6,0.139,0.014,0.213,0.082,0.139,0.077
Ncoa3,0.226,0.551,-0.027,0.209,-0.072,-0.433,-0.084,0.377,0.109,0.14,0.001,0.141,0.002
Ncoa4,-0.07,-2.302,0.044,-0.086,0.194,0.038,0.144,-0.196,-0.01,0.182,0.071,0.017,
Ncoa5,0.025,0.626,-0.033,-0.063,0.205,-0.201,-0.293,-0.353,0.004,0.121,0.154,0.025,0.017
Ncoa6,0.229,0.481,0.111,0.065,-0.198,0.129,-0.613,0.201,-0.009,0.259,0.098,0.09,0.051
Ncoa7,-0.078,-0.034,-0.066,0.05,0.391,0.062,0.338,-0.043,-0.0,-0.003,0.144,-0.411,-0.069
Ncor1,-0.043,-0.199,-0.025,-0.009,-0.239,-0.031,0.726,-0.006,0.004,0.024,0.039,-0.025,-0.01
Ncor2,0.095,0.195,0.105,0.016,0.429,-0.344,0.352,0.083,0.042,0.18,0.121,0.01,-0.104
Ncs1,0.135,0.079,0.21,0.07,0.331,-0.01,0.026,-0.127,0.014,0.153,0.02,0.394,-0.018
Ncstn,0.042,-0.119,0.157,-0.072,-0.148,-0.03,0.285,-0.741,0.129,0.246,0.157,0.203,-0.108
Nde1,0.338,-0.922,-0.084,-0.256,0.307,0.339,,,0.224,-0.121,-0.292,,-0.411
Ndel1,-0.025,-0.233,0.184,-0.057,-0.027,0.126,0.008,-0.098,-0.015,0.066,0.019,0.142,-0.028
Ndfip1,0.003,-0.396,0.082,-0.019,0.231,-0.018,0.347,-0.042,-0.079,0.003,-0.039,-0.45,-0.201
Ndfip2,0.104,-0.205,0.142,-0.012,0.25,0.154,0.344,-0.169,0.023,0.008,0.017,-0.005,-0.047
Ndn,-0.171,-0.014,-0.072,0.008,-0.095,-0.051,0.46,0.035,-0.071,0.064,-0.219,0.117,0.06
Ndor1,0.196,0.015,0.317,0.094,0.182,-0.212,-0.444,,0.132,0.231,0.148,0.033,-0.596
Ndrg1,-0.029,-0.329,-0.23,-0.055,-0.792,-0.055,-0.597,-0.328,-0.123,-0.009,0.205,0.17,-0.004
Ndrg2,-0.12,0.237,-0.321,0.016,0.422,0.041,-0.019,-0.205,-0.135,0.037,-0.021,-0.064,-0.021
Ndrg3,0.128,0.334,0.138,0.049,0.421,0.094,0.338,-0.103,0.044,0.11,0.192,0.164,0.172
Ndrg4,0.162,0.219,0.16,-0.018,0.652,0.263,0.157,0.063,0.056,0.143,0.203,0.207,0.235
Ndst1,-0.218,0.362,0.109,0.197,0.165,-0.185,0.066,-0.086,0.116,0.239,0.098,0.379,-0.07
Ndufa1,-0.001,-0.114,-0.028,-0.061,0.221,-0.037,-0.323,-0.032,-0.047,-0.08,0.058,-0.52,-0.062
Ndufa10,0.05,-0.044,-0.072,-0.063,0.006,0.049,-0.019,0.118,-0.001,-0.037,0.0,0.015,-0.022
Ndufa11,0.06,-0.008,-0.121,-0.024,0.419,-0.079,-0.111,0.014,-0.036,-0.093,-0.09,-0.13,0.061
