,GSE102443 geniculate (VII),GSE135801 geniculate (VII),GSE309608 vestibular (VIII),GSE232789 stellate,GSE232789 coeliac,GSE232789 lumbar chain,GSE231766 superior cervical,GSE231924 stellate,GSE232789 sphenopalatine,GSE330884 intrinsic cardiac,GSE232789 pelvic,"GSE263422 enteric submucosal, P24","GSE263422 enteric submucosal, P7"
2610301B20Rik,0.122,-0.542,-0.037,0.112,-0.415,0.178,-0.557,0.083,0.188,-0.075,-0.058,0.121,0.175
2610507B11Rik,0.099,-0.177,0.281,0.187,-0.032,0.138,0.433,-0.126,0.045,0.127,0.153,0.13,-0.102
2700049A03Rik,-0.123,-1.587,0.03,-0.133,-0.378,0.072,0.025,0.425,-0.31,0.406,-0.128,-0.174,-0.349
2700062C07Rik,-0.298,-0.514,-0.031,-0.149,-0.279,-0.26,-0.09,-0.752,-0.026,-0.061,-0.079,-0.055,-0.498
2700081O15Rik,-0.097,0.004,0.081,0.218,-0.414,0.149,0.302,-0.407,0.069,0.166,0.116,0.199,-0.132
2700097O09Rik,-0.016,0.189,0.093,-0.26,-0.969,-0.17,-1.574,0.141,-0.127,-0.008,-0.06,0.084,0.004
2810001G20Rik,-0.16,0.493,-0.074,0.009,0.183,-0.099,-0.785,0.07,0.067,-0.103,0.054,-0.321,0.047
2810004N23Rik,0.213,-0.87,-0.133,-0.093,0.23,-0.321,0.142,-0.119,0.068,-0.06,-0.019,-0.21,0.014
2810006K23Rik,0.207,0.821,-0.314,0.111,0.078,-0.137,0.323,0.34,0.211,0.002,-0.026,0.027,-0.202
2810032G03Rik,0.658,0.888,0.545,-0.215,-0.336,-0.161,,,-0.149,-0.369,-0.364,-0.759,-0.589
2900076A07Rik,-0.221,,-0.104,-0.051,-0.489,-0.065,-0.028,-0.318,-0.016,-0.048,0.086,0.123,-0.029
2900079G21Rik,-0.063,-0.561,-0.538,-0.019,-0.275,-0.811,,,0.047,0.046,,0.33,-0.091
2900097C17Rik,-0.003,0.266,0.247,-0.002,0.06,0.158,,-0.208,0.082,0.172,0.054,,
3110009E18Rik,-0.041,-0.252,-0.009,-0.052,0.098,-0.505,,,-0.134,-0.214,-0.333,-0.352,-0.893
3110040N11Rik,0.04,0.864,-0.104,-0.137,0.328,0.274,0.084,-0.956,0.048,-0.111,0.065,-0.061,0.065
3110082I17Rik,0.041,0.359,-0.067,-0.031,-0.867,0.041,0.163,,0.322,-0.071,0.071,0.132,
3830406C13Rik,-0.108,0.109,-0.023,-0.059,-0.248,0.329,0.305,0.197,-0.079,-0.046,0.111,-0.024,-0.149
4732491K20Rik,0.073,-1.535,-0.039,-0.037,-0.147,-0.178,0.93,,-0.066,-0.12,0.166,0.099,0.144
4833420G17Rik,-0.104,0.006,0.144,0.01,-0.585,-0.13,0.501,-0.21,-0.017,0.149,0.003,-0.039,0.102
4833439L19Rik,0.108,-0.108,0.045,0.02,0.055,-0.011,-0.079,0.174,0.009,0.025,0.106,-0.012,-0.083
4921524J17Rik,0.009,-0.023,-0.181,-0.083,-0.482,-0.29,-0.121,-0.101,-0.065,-0.063,0.038,-0.263,0.002
4930402H24Rik,-0.192,0.957,0.187,-0.006,-0.193,-0.03,0.398,0.285,0.06,0.215,0.14,0.044,0.022
4930430F08Rik,0.097,0.09,-0.116,-0.01,0.188,-0.008,0.838,0.312,-0.094,0.005,-0.069,-0.25,-0.588
4930453N24Rik,0.167,0.569,-0.075,0.005,0.042,-0.015,-0.741,-1.274,0.139,-0.001,0.088,0.04,0.089
4930503L19Rik,0.188,,0.157,-0.111,-0.838,-0.302,0.361,0.133,-0.236,0.128,0.06,-0.098,
4931406C07Rik,1.069,-1.01,0.031,0.032,-0.155,-0.199,0.289,-0.72,0.006,0.002,0.194,-0.149,-0.191
4931406P16Rik,0.032,-0.275,-0.003,0.138,0.311,-0.126,,0.522,0.143,0.069,-0.021,0.06,-0.082
4931428F04Rik,0.24,-0.529,0.101,0.026,-0.003,0.005,0.577,0.381,-0.033,0.102,-0.091,0.037,0.071
4932438A13Rik,0.061,-0.05,0.185,-0.046,-0.041,0.104,0.362,0.157,0.12,0.24,0.06,0.018,0.24
4933431E20Rik,0.114,-1.006,0.05,-0.053,0.823,0.257,0.381,-0.072,-0.001,-0.012,-0.102,-0.084,-0.214
4933434E20Rik,0.049,-0.105,0.058,-0.047,0.001,0.026,0.054,-0.111,-0.048,-0.002,0.095,0.025,0.031
5031439G07Rik,0.035,-0.043,0.368,0.059,-0.002,0.117,0.093,0.082,0.003,0.12,0.131,0.128,0.007
5330417C22Rik,-0.299,0.559,0.085,-0.013,0.132,-0.642,,0.291,0.066,0.232,0.58,0.147,-1.313
5330434G04Rik,0.003,0.138,0.196,0.093,0.309,-0.04,0.899,-0.051,0.11,0.102,0.002,0.034,0.044
5430416N02Rik,-0.131,0.268,0.027,-0.001,-0.538,-0.239,-0.683,,0.154,-0.101,-0.053,-0.305,-0.788
5730409E04Rik,-0.126,-0.283,0.169,-0.069,0.257,-0.086,-0.175,-0.788,-0.054,0.188,0.159,0.208,0.086
5730455P16Rik,0.218,-0.101,0.015,-0.082,0.053,-0.004,0.422,0.146,0.043,0.083,0.005,0.001,-0.245
5730480H06Rik,1.164,,-0.085,-0.067,0.438,-0.085,0.795,0.09,-0.055,-0.025,-0.007,,
6030458C11Rik,0.092,-0.821,0.144,0.025,0.306,0.244,0.184,0.481,0.057,0.155,-0.089,0.162,0.295
6330403K07Rik,-0.329,0.018,-0.159,0.014,0.385,-0.011,0.236,-0.097,0.002,-0.039,0.128,0.202,0.202
